tanggal,provinsi,LAKI-LAKI,PEREMPUAN,tidak_diketahui
2021-12-07,DKI JAKARTA,424430,429163,10630
2021-12-07,JAWA BARAT,339326,358713,10085
2021-12-07,JAWA TENGAH,215732,251245,19553
2021-12-07,JAWA TIMUR,189571,206237,3801
2021-12-07,KALIMANTAN TIMUR,88030,69472,755
2021-12-07,DAERAH ISTIMEWA YOGYAKARTA,74645,82011,198
2021-12-07,BANTEN,66323,66108,289
2021-12-07,RIAU,63805,65026,16
2021-12-07,BALI,57591,56175,508
2021-12-07,SULAWESI SELATAN,50221,59520,189
2021-12-07,SUMATERA UTARA,50091,55664,312
2021-12-07,SUMATERA BARAT,39283,49222,1351
2021-12-07,KALIMANTAN SELATAN,35496,34158,276
2021-12-07,NUSA TENGGARA TIMUR,30136,33780,183
2021-12-07,SUMATERA SELATAN,29647,30053,249
2021-12-07,KEPULAUAN RIAU,27606,26231,50
2021-12-07,KEPULAUAN BANGKA BELITUNG,24389,27902,19
2021-12-07,LAMPUNG,21891,27769,63
2021-12-07,SULAWESI TENGAH,21165,25937,59
2021-12-07,KALIMANTAN TENGAH,22799,22664,168
2021-12-07,KALIMANTAN BARAT,20535,20979,48
2021-12-07,ACEH,18427,19961,32
2021-12-07,KALIMANTAN UTARA,19023,16555,310
2021-12-07,SULAWESI UTARA,16758,17867,108
2021-12-07,PAPUA,17194,15341,1814
2021-12-07,JAMBI,13441,14653,1677
2021-12-07,NUSA TENGGARA BARAT,13779,13985,17
2021-12-07,PAPUA BARAT,12259,11083,79
2021-12-07,BENGKULU,10390,12195,520
2021-12-07,SULAWESI TENGGARA,9925,10167,70
2021-12-07,MALUKU,7067,7390,132
2021-12-07,SULAWESI BARAT,5588,6764,3
2021-12-07,MALUKU UTARA,6064,5806,231
2021-12-07,GORONTALO,5685,6146,4
2021-12-04,DKI JAKARTA,424386,429119,10630
2021-12-04,JAWA BARAT,339277,358651,10085
2021-12-04,JAWA TENGAH,215711,251230,19553
2021-12-04,JAWA TIMUR,189535,206190,3801
2021-12-04,KALIMANTAN TIMUR,88024,69469,755
2021-12-04,DAERAH ISTIMEWA YOGYAKARTA,74626,81984,198
2021-12-04,BANTEN,66317,66098,289
2021-12-04,RIAU,63796,65022,16
2021-12-04,BALI,57580,56166,508
2021-12-04,SULAWESI SELATAN,50220,59517,189
2021-12-04,SUMATERA UTARA,50081,55658,312
2021-12-04,SUMATERA BARAT,39283,49220,1351
2021-12-04,KALIMANTAN SELATAN,35494,34157,276
2021-12-04,NUSA TENGGARA TIMUR,30119,33761,183
2021-12-04,SUMATERA SELATAN,29645,30048,249
2021-12-04,KEPULAUAN RIAU,27606,26228,50
2021-12-04,KEPULAUAN BANGKA BELITUNG,24386,27894,19
2021-12-04,LAMPUNG,21889,27769,63
2021-12-04,SULAWESI TENGAH,21162,25937,59
2021-12-04,KALIMANTAN TENGAH,22798,22658,168
2021-12-04,KALIMANTAN BARAT,20522,20977,48
2021-12-04,ACEH,18428,19959,32
2021-12-04,KALIMANTAN UTARA,19023,16554,310
2021-12-04,SULAWESI UTARA,16750,17862,108
2021-12-04,PAPUA,17191,15338,1814
2021-12-04,JAMBI,13441,14652,1677
2021-12-04,NUSA TENGGARA BARAT,13778,13984,17
2021-12-04,PAPUA BARAT,12235,11081,79
2021-12-04,BENGKULU,10390,12194,520
2021-12-04,SULAWESI TENGGARA,9923,10167,70
2021-12-04,MALUKU,7067,7390,132
2021-12-04,SULAWESI BARAT,5588,6763,3
2021-12-04,MALUKU UTARA,6064,5806,231
2021-12-04,GORONTALO,5684,6146,4
2021-12-04,DKI JAKARTA,424387,429118,10630
2021-12-04,JAWA TIMUR,189534,206191,3801
2021-12-04,NUSA TENGGARA TIMUR,30118,33762,183
2021-12-04,JAWA BARAT,339279,358648,10085
2021-12-04,JAWA TENGAH,215712,251229,19553
2021-12-04,JAWA TIMUR,189536,206189,3801
2021-12-04,SUMATERA UTARA,50080,55659,312
2021-12-04,NUSA TENGGARA TIMUR,30117,33763,183
2021-12-04,LAMPUNG,21884,27752,63
2021-12-04,SULAWESI TENGAH,21163,25936,59
2021-12-04,ACEH,18429,19958,32
2021-12-04,SULAWESI UTARA,16751,17860,108
2021-12-04,JAMBI,13440,14652,1677
2021-12-02,DKI JAKARTA,424338,429077,10630
2021-12-02,JAWA BARAT,339249,358600,10085
2021-12-02,JAWA TENGAH,215675,251207,19553
2021-12-02,JAWA TIMUR,189515,206162,3801
2021-12-02,KALIMANTAN TIMUR,88023,69467,755
2021-12-02,DAERAH ISTIMEWA YOGYAKARTA,74601,81970,198
2021-12-02,BANTEN,66308,66096,289
2021-12-02,RIAU,63791,65018,16
2021-12-02,BALI,57569,56156,508
2021-12-02,SULAWESI SELATAN,50217,59513,189
2021-12-02,SUMATERA UTARA,50077,55656,312
2021-12-02,SUMATERA BARAT,39281,49217,1351
2021-12-02,KALIMANTAN SELATAN,35494,34157,276
2021-12-02,NUSA TENGGARA TIMUR,30107,33745,183
2021-12-02,SUMATERA SELATAN,29643,30045,249
2021-12-02,KEPULAUAN RIAU,27606,26228,50
2021-12-02,KEPULAUAN BANGKA BELITUNG,24383,27888,19
2021-12-02,LAMPUNG,21880,27748,63
2021-12-02,SULAWESI TENGAH,21162,25932,59
2021-12-02,KALIMANTAN TENGAH,22798,22656,168
2021-12-02,KALIMANTAN BARAT,20516,20972,48
2021-12-02,ACEH,18427,19957,32
2021-12-02,KALIMANTAN UTARA,19021,16554,310
2021-12-02,SULAWESI UTARA,16748,17859,108
2021-12-02,PAPUA,17190,15337,1814
2021-12-02,JAMBI,13439,14652,1677
2021-12-02,NUSA TENGGARA BARAT,13778,13982,17
2021-12-02,PAPUA BARAT,12221,11078,79
2021-12-02,BENGKULU,10390,12194,520
2021-12-02,SULAWESI TENGGARA,9923,10167,70
2021-12-02,MALUKU,7067,7388,132
2021-12-02,SULAWESI BARAT,5587,6763,3
2021-12-02,MALUKU UTARA,6064,5806,231
2021-12-02,GORONTALO,5684,6146,4
2021-12-01,DKI JAKARTA,424322,429065,10630
2021-12-01,JAWA BARAT,339206,358560,10085
2021-12-01,JAWA TENGAH,215660,251192,19553
