tanggal,LAKI-LAKI,PEREMPUAN,tidak_diketahui
2021-11-19,2045574.0,2153289,53819
2021-11-20,2045758.0,2153497,53819
2021-11-21,2045922.0,2153654,53819
2021-11-23,3961928.0,4177826,104435
2021-11-24,2046445.0,2154158,53819
2021-11-25,2112903.0,2220424,54108
2021-11-27,2047071.0,2154759,53819
2021-11-29,3009760.0,3158463,78403
2021-11-30,2047481.0,2155106,53800
2021-12-01,2471932.0,2584321,64429
2021-12-02,2047772.0,2155393,53799
2021-12-04,3608449.0,3836366,104286
2021-12-07,2048312.0,2155942,53799
2021-12-08,2048436.0,2156081,53799
2021-12-09,2048537.0,2156200,53799
2021-12-10,2473115.0,2585510,64429
2021-12-12,2048818.0,2156501,53799
2021-12-13,4306824.0,4512930,121846
2021-12-16,2049002.0,2156688,53802
2021-12-18,2049353.0,2157003,53799
2021-12-19,2049555.0,2157170,53802
2021-12-21,2049733.0,2157336,53802
2021-12-22,2496439.0,2614642,64493
2021-12-24,2050022.0,2157566,53802
2021-12-26,2050212.0,2157729,53801
2021-12-27,2050271.0,2157789,53801
2021-12-28,2050439.0,2157897,53801
2021-12-29,2050553.0,2157976,53801
2021-12-30,2050664.0,2158053,53801
2021-12-31,2050760.0,2158132,53801
2022-01-01,2050912.0,2158253,53801
2022-01-03,4859086.0,5073036,127784
2022-01-07,2811478.0,2947770,68752
2022-01-08,3984642.0,4178496,103632
2022-01-11,2052497.0,2159837,53884
2022-01-13,4363250.0,4571858,115287
2022-01-15,4025001.0,4225039,105793
2022-01-16,3322761.0,3501728,82867
2022-01-20,2056920.0,2164310,53885
2022-01-21,2058229.0,2165701,53885
2022-01-28,4118295.0,4336765,107227
2022-01-29,3002065.0,3135249,75482
2022-02-04,2096490.0,2206403,53887
2022-02-07,4359337.0,4591853,107815
2022-02-09,2226763.0,2346169,53918
2022-02-11,6084553.0,6417663,155319
2022-02-12,2265957.0,2388069,53916
2022-02-13,2313748.0,2440103,53917
2022-02-17,7168603.0,7566438,161829
2022-02-18,2449230.0,2586136,53951
2022-02-19,2449285.0,2586193,53951
2022-02-21,4587403.0,4837984,103465
2022-02-23,5064325.0,5352888,107958
2022-02-24,2576361.0,2724177,54013
2022-02-25,4660981.0,4927989,100321
2022-03-01,5363741.0,5681599,108190
2022-03-02,5367696.0,5702427,108184
2022-03-04,2715241.0,2906271,54128
2022-03-05,3619592.0,3898087,84070
2022-03-08,2656339.0,2935053,8624
2022-03-10,2758361.0,2987741,54142
2022-03-11,5354994.0,5828004,105528
2022-03-13,2784578.0,3025160,54152
2022-03-14,5561403.0,6053865,108132
2022-03-15,5552902.0,6057757,107643
2022-03-16,5492192.0,6000958,105815
2022-03-19,4293516.0,4712005,86754
2022-03-21,5641044.0,6180207,108360
2022-03-23,5483466.0,6014209,107743
2022-03-27,2772284.0,3046374,53099
2022-03-28,2834229.0,3113321,54185
2022-03-29,5473124.0,6018314,102309
2022-03-30,2838092.0,3117186,54185
2022-03-31,2839820.0,3118790,54185
2022-04-04,2650832.0,2917288,47215
2022-04-05,2845275.0,3124440,54192
2022-04-07,4519864.0,4980847,81753
2022-04-08,2848325.0,3127625,54192
2022-04-10,6939743.0,7613689,132523
2022-04-12,6538325.0,7177210,140526
2022-04-15,3835236.0,4218238,84387
2022-04-18,2853193.0,3133022,54193
2022-04-19,5539014.0,6017487,100843
2022-04-21,5912847.0,6539311,108335
2022-04-24,2854624.0,3134507,54195
2022-04-25,2855183.0,3135064,54195
2022-04-26,2862101.0,3144245,54207
2022-04-30,7762169.0,8492906,159488
2022-05-06,7156856.0,7823232,128077
2022-05-10,3222138.0,3537252,74256
2022-05-13,5976939.0,6580746,127168
2022-05-17,2858347.0,3138233,54196
2022-05-19,3462863.0,3772674,64903
2022-05-21,9081778.0,9957909,190652
2022-05-26,6759236.0,7336925,128234
2022-05-29,5720537.0,6286751,106676
2022-05-31,3036340.0,3332132,55185
2022-06-24,2868637.0,3150061,54197
2022-06-25,3127169.0,3398641,55244
2022-06-27,4469837.0,4889141,79276
2022-06-29,2874256.0,3156803,54197
2022-07-01,9944644.0,10863852,183244
2022-07-05,2878410.0,3161737,54196
2022-07-06,2881205.0,3165234,54196
2022-07-07,4023322.0,4398155,75001
2022-07-09,2884845.0,3169656,54196
2022-07-10,2886018.0,3171076,54196
2022-07-11,4449663.0,4863493,79106
2022-07-16,11600037.0,12715585,240254
2022-07-19,2898911.0,3186243,54196
2022-07-21,4323127.0,4696156,76048
2022-07-22,2907995.0,3197122,54196
2022-07-24,7129088.0,7805814,128818
2022-07-26,2914359.0,3204527,54196
2022-07-28,5121308.0,5592299,82009
2022-07-31,7450694.0,8157382,132682
2022-08-09,2949959.0,3246143,54205
2022-08-11,8910670.0,9786802,182370
2022-08-16,2962316.0,3260229,54205
2022-08-17,3630523.0,3971494,64913
2022-08-18,2973197.0,3273107,54206
2022-08-21,5041368.0,5531880,86383
2022-08-23,8409342.0,9160663,124330
2022-08-25,2988559.0,3291583,54207
2022-08-28,2993999.0,3298089,54207
2022-08-29,4210206.0,4620219,75013
2022-08-30,5252363.0,5751461,85058
2022-09-01,7200188.0,7911087,129205
2022-09-06,3002680.0,3307464,54208
2022-09-08,6818507.0,7488830,119743
2022-09-11,4899038.0,5410665,80920
