nama_lab,lat,lon,alamat,kontak_phone,provinsi
TIRTA,,,,,
BALAI LITBANG ACEH,5.509367,95.364281,"Jl. Biomedis No.9, Bada, Kec. Ingin Jaya, Kabupaten Aceh Besar, Aceh 23371, Indonesia",(0651) 8070189,ACEH
LAB FK UNSYIAH,,,,,ACEH
RSUP SANGLAH DENPASAR,-8.6757835,115.2109771,"Jl. Diponegoro, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",(0361) 227912,BALI
LAB BIOMOL UNIV WARMADEWA,,,,,BALI
BLK PROVINSI BALI,,,,,BALI
RS UNIVERSITAS UDAYANA,,,,,BALI
RSUD TANGERANG,-6.2266509,106.5861338,"Jl. Jend. Ahmad Yani, RT.005/RW.003, Klp. Indah, Kec. Tangerang, Kota Tangerang, Banten 15117, Indonesia",(021) 5523507,BANTEN
RS SILOAM LIPPO VILLAGE,,,,,BANTEN
RSUD DRAJAT PRAWIRANEGARA,,,,,BANTEN
LAB FK UNIVERSITAS PELITA HARAPAN,,,,,BANTEN
LAB KIMIA FARMA SERANG,,,,,BANTEN
LAB KIMIA FARMA CILEGON,,,,,BANTEN
LAB KIMIA FARMA PAMULANG,,,,,BANTEN
LAB RS KRAKATAU MEDIKA,,,,,BANTEN
LAB RSUD  BENGKULU,,,,,BENGKULU
BTKL JOGYA,-7.8209947,110.4128499,"Jl. Wiyoro Lor Jl. Wiyoro Kidul No.21, Wirono, Baturetno, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55197, Indonesia",(0274) 371588,DI YOGYAKARTA
RSU SARDJITO,-7.768611,110.3712802,"Jl. Kesehatan No.1, Senolowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",(0274) 631190,DI YOGYAKARTA
RS PEND UGM,-7.7428692,110.3482328,"Jl. Kronggohan, Kranggahan I, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291, Indonesia",(0274) 4530404,DI YOGYAKARTA
BBVET WATES,-7.866693,110.168174,"Komplek bbvet Jl. Raya Yogya – Wates Km. 27, TP 18, Gn. Gempal, Giri Peni, Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651",(0274) 773168,DI YOGYAKARTA
LAB FK UNIVERSITAS MUHAMMADIYAH YOGYAKARTA (UMY),,,,,DI YOGYAKARTA
BBLK JAKARTA,-6.1899106,106.8561624,"Jl. Percetakan Negara II No.23B
RT.8/RW.10, Johar Baru
Kec. Johar Baru
Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia",(021) 4212524,DKI JAKARTA
