key_as_string,key,doc_count,jumlah_spesimen_pcr_tcm,jumlah_spesimen_antigen,jumlah_orang_antigen,jumlah_orang_pcr_tcm,jumlah_spesimen_pcr_tcm_kum,jumlah_spesimen_antigen_kum,jumlah_orang_pcr_tcm_kum,jumlah_orang_antigen_kum
2021-03-15,1615766400000,1,11438902,204952,192024,7589169,11438902,204952,7589169,192024
2021-03-16,1615852800000,1,53586,22040,20557,26507,11492488,226992,7615676,212581
2021-03-17,1615939200000,1,54353,21627,31339,27413,11546841,248619,7643089,243920
2021-03-18,1616025600000,1,54815,20922,8637,27306,11601656,269541,7670395,252557
2021-03-19,1616112000000,1,53760,19700,18500,27463,11655416,289241,7697858,271057
2021-03-20,1616198400000,1,50547,19153,17991,25816,11705963,308394,7723674,289048
2021-03-21,1616284800000,1,30215,11140,10408,15896,11736178,319534,7739570,299456
2021-03-22,1616371200000,1,34113,9642,8892,28690,11770291,329176,7768260,308348
2021-03-23,1616457600000,1,52146,25256,23267,26858,11822437,354432,7795118,331615
2021-03-24,1616544000000,1,49919,22359,20544,29244,11872356,376791,7824362,352159
2021-03-25,1616630400000,1,55783,25308,23386,29776,11928139,402099,7854138,375545
2021-03-26,1616716800000,1,49643,21916,19952,31667,11977782,424015,7885805,395497
2021-03-27,1616803200000,1,45708,21840,20224,25657,12023490,445855,7911462,415721
2021-03-28,1616889600000,1,30289,12396,11402,19236,12053779,458251,7930698,427123
2021-03-29,1616976000000,1,29334,17599,15986,23056,12083113,475850,7953754,443109
2021-03-30,1617062400000,1,50271,26633,23956,24331,12133384,502483,7978085,467065
2021-03-31,1617148800000,1,48128,23312,20752,24962,12181512,525795,8003047,487817
2021-04-01,1617235200000,1,47905,24889,22237,32529,12229417,550684,8035576,510054
2021-04-02,1617321600000,1,35633,16862,15036,26370,12265050,567546,8061946,525090
2021-04-03,1617408000000,1,28807,15259,13839,22206,12293857,582805,8084152,538929
2021-04-04,1617494400000,1,21231,15259,13451,20430,12315088,598064,8104582,552380
2021-04-05,1617580800000,1,27719,17238,15384,22963,12342807,615302,8127545,567764
2021-04-06,1617667200000,1,49408,28634,25395,24364,12392215,643936,8151909,593159
2021-04-07,1617753600000,1,51040,26456,23580,29877,12443255,670392,8181786,616739
2021-04-08,1617840000000,1,46789,26627,23514,30739,12490044,697019,8212525,640253
2021-04-09,1617926400000,1,47128,25584,22564,25616,12537172,722603,8238141,662817
2021-04-10,1618012800000,1,40539,23552,20810,22897,12577711,746155,8261038,683627
2021-04-11,1618099200000,1,27733,14373,12773,18145,12605444,760528,8279183,696400
2021-04-12,1618185600000,1,28327,18004,15790,18644,12633771,778532,8297827,712190
2021-04-13,1618272000000,1,47584,29938,25010,25631,12681355,808470,8323458,737200
2021-04-14,1618358400000,1,46491,27667,23654,20632,12727846,836137,8344090,760854
2021-04-15,1618444800000,1,49727,24856,21078,27650,12777573,860993,8371740,781932
2021-04-16,1618531200000,1,46636,26770,23076,27022,12824209,887763,8398762,805008
2021-04-17,1618617600000,1,41273,23565,20374,24581,12865482,911328,8423343,825382
2021-04-18,1618704000000,1,25512,13107,11327,19953,12890994,924435,8443296,836709
2021-04-19,1618790400000,1,35052,19676,16845,20422,12926046,944111,8463718,853554
2021-04-20,1618876800000,1,40470,28737,24488,23619,12966516,972848,8487337,878042
