tanggal,0-5,6-18,19-30,31-45,46-59,≥ 60,tidak_diketahui
2021-11-19,122026,427860,1042568,1206810,909836,497951,45631
2021-11-20,122036,427933,1042655,1206914,909906,497999,45631
2021-11-21,122037,427971,1042733,1207007,909959,498059,45629
2021-11-23,237620,829192,2013309,2332864,1769792,972789,88623
2021-11-24,122072,428146,1042998,1207292,910126,498155,45633
2021-11-25,122079,428252,1043060,1207388,910192,498190,45633
2021-11-27,122105,428558,1043222,1207549,910308,498274,45633
2021-11-29,184941,637888,1575529,1822075,1377359,740294,75532
2021-11-30,122133,428710,1043406,1207690,910434,498382,45632
2021-12-01,173001,594077,1453302,1668611,1239208,660793,73880
2021-12-02,122153,428829,1043548,1207816,910543,498444,45631
2021-12-04,209018,733706,1805225,2107397,1639779,910304,79609
2021-12-07,122188,429036,1043811,1208069,910736,498582,45631
2021-12-08,122204,429074,1043879,1208135,910780,498612,45632
2021-12-09,122217,429099,1043945,1208197,910814,498632,45632
2021-12-10,125914,442341,1078050,1248152,940206,510813,45983
2021-12-12,122236,429203,1044071,1208345,910911,498720,45632
2021-12-13,273875,923763,2275030,2604470,1935463,1031883,118821
2021-12-16,122247,429260,1044163,1208434,910981,498777,45630
2021-12-18,122280,429353,1044346,1208622,911080,498845,45629
2021-12-19,122292,429402,1044428,1208716,911156,498904,45629
2021-12-21,122312,429458,1044501,1208818,911210,498944,45628
2021-12-22,156388,534900,1326000,1520400,1129698,618714,60189
2021-12-24,154024,526094,1308561,1501331,1110142,598897,60002
2021-12-26,122351,429539,1044755,1209094,911346,499030,45627
2021-12-27,122355,429553,1044780,1209126,911379,499041,45627
2021-12-28,122371,429576,1044846,1209215,911442,499060,45627
2021-12-29,122380,429607,1044887,1209269,911481,499078,45628
2021-12-30,122390,429623,1044951,1209319,911512,499095,45628
2021-12-31,122399,429647,1045003,1209362,911547,499107,45628
2022-01-01,122405,429666,1045085,1209466,911597,499119,45628
2022-01-03,306011,1042797,2551796,2917449,2164823,1178318,119983
2022-01-07,162800,558859,1404719,1619958,1216549,668607,63635
