tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-26,1,0,0,1,1,0,0,1
2020-03-27,3,0,0,3,4,0,0,4
2020-03-28,1,0,0,1,5,0,0,5
2020-03-29,0,0,0,0,5,0,0,5
2020-03-30,0,0,0,0,5,0,0,5
2020-03-31,0,0,0,0,5,0,0,5
2020-04-01,0,0,0,0,5,0,0,5
2020-04-02,0,0,0,0,5,0,0,5
2020-04-03,0,0,0,0,5,0,0,5
2020-04-04,0,0,0,0,5,0,0,5
2020-04-05,0,0,0,0,5,0,0,5
2020-04-06,0,0,0,0,5,0,0,5
2020-04-07,0,0,0,0,5,0,0,5
2020-04-08,0,0,0,0,5,0,0,5
2020-04-09,0,0,1,-1,5,1,0,4
2020-04-10,0,0,0,0,5,1,0,4
2020-04-11,0,0,0,0,5,1,0,4
2020-04-12,0,0,0,0,5,1,0,4
2020-04-13,0,0,2,-2,5,3,0,2
2020-04-14,0,0,0,0,5,3,0,2
2020-04-15,0,0,0,0,5,3,0,2
2020-04-16,0,0,0,0,5,3,0,2
2020-04-17,0,0,0,0,5,3,0,2
2020-04-18,1,0,0,1,6,3,0,3
2020-04-19,1,0,0,1,7,3,0,4
2020-04-20,0,0,0,0,7,3,0,4
2020-04-21,0,0,0,0,7,3,0,4
2020-04-22,0,0,0,0,7,3,0,4
2020-04-23,0,1,0,-1,7,3,1,3
2020-04-24,1,0,0,1,8,3,1,4
2020-04-25,1,0,0,1,9,3,1,5
2020-04-26,0,0,0,0,9,3,1,5
2020-04-27,0,0,1,-1,9,4,1,4
2020-04-28,0,0,1,-1,9,5,1,3
2020-04-29,0,0,1,-1,9,6,1,2
2020-04-30,1,0,0,1,10,6,1,3
2020-05-01,1,0,0,1,11,6,1,4
2020-05-02,0,0,0,0,11,6,1,4
2020-05-03,1,0,2,-1,12,8,1,3
2020-05-04,0,0,0,0,12,8,1,3
2020-05-05,0,0,0,0,12,8,1,3
2020-05-06,5,0,0,5,17,8,1,8
2020-05-07,0,0,0,0,17,8,1,8
2020-05-08,0,0,3,-3,17,11,1,5
2020-05-09,0,0,0,0,17,11,1,5
2020-05-10,0,0,0,0,17,11,1,5
2020-05-11,0,0,1,-1,17,12,1,4
2020-05-12,0,0,0,0,17,12,1,4
2020-05-13,0,0,1,-1,17,13,1,3
2020-05-14,0,0,0,0,17,13,1,3
2020-05-15,0,0,0,0,17,13,1,3
2020-05-16,1,0,2,-1,18,15,1,2
2020-05-17,0,0,0,0,18,15,1,2
2020-05-18,0,0,0,0,18,15,1,2
2020-05-19,0,0,0,0,18,15,1,2
2020-05-20,0,0,0,0,18,15,1,2
2020-05-21,0,0,0,0,18,15,1,2
2020-05-22,1,0,1,0,19,16,1,2
2020-05-23,0,0,1,-1,19,17,1,1
2020-05-24,0,0,0,0,19,17,1,1
2020-05-25,0,0,0,0,19,17,1,1
2020-05-26,0,0,0,0,19,17,1,1
2020-05-27,0,0,0,0,19,17,1,1
2020-05-28,1,0,0,1,20,17,1,2
2020-05-29,0,0,0,0,20,17,1,2
2020-05-30,0,0,0,0,20,17,1,2
2020-05-31,0,0,0,0,20,17,1,2
2020-06-01,0,0,0,0,20,17,1,2
2020-06-02,0,0,0,0,20,17,1,2
2020-06-03,0,0,1,-1,20,18,1,1
2020-06-04,0,0,0,0,20,18,1,1
2020-06-05,0,0,0,0,20,18,1,1
2020-06-06,0,0,0,0,20,18,1,1
2020-06-07,0,0,0,0,20,18,1,1
2020-06-08,0,0,0,0,20,18,1,1
2020-06-09,0,0,0,0,20,18,1,1
2020-06-10,2,0,0,2,22,18,1,3
2020-06-11,0,0,0,0,22,18,1,3
2020-06-12,0,0,0,0,22,18,1,3
2020-06-13,0,0,1,-1,22,19,1,2
2020-06-14,4,0,0,4,26,19,1,6
2020-06-15,0,0,0,0,26,19,1,6
2020-06-16,0,0,1,-1,26,20,1,5
2020-06-17,7,0,0,7,33,20,1,12
2020-06-18,1,0,0,1,34,20,1,13
2020-06-19,0,0,0,0,34,20,1,13
2020-06-20,1,0,0,1,35,20,1,14
2020-06-21,9,0,0,9,44,20,1,23
2020-06-22,0,0,0,0,44,20,1,23
2020-06-23,0,0,0,0,44,20,1,23
2020-06-24,4,0,0,4,48,20,1,27
2020-06-25,10,0,0,10,58,20,1,37
2020-06-26,3,0,0,3,61,20,1,40
2020-06-27,8,0,2,6,69,22,1,46
2020-06-28,1,0,2,-1,70,24,1,45
2020-06-29,0,1,0,-1,70,24,2,44
2020-06-30,1,0,1,0,71,25,2,44
2020-07-01,6,0,5,1,77,30,2,45
2020-07-02,0,0,0,0,77,30,2,45
2020-07-03,1,0,0,1,78,30,2,46
2020-07-04,0,0,0,0,78,30,2,46
2020-07-05,0,0,0,0,78,30,2,46
2020-07-06,0,0,8,-8,78,38,2,38
2020-07-07,1,0,1,0,79,39,2,38
2020-07-08,1,0,7,-6,80,46,2,32
2020-07-09,1,0,3,-2,81,49,2,30
2020-07-10,0,0,4,-4,81,53,2,26
2020-07-11,5,1,4,0,86,57,3,26
2020-07-12,4,0,0,4,90,57,3,30
2020-07-13,0,1,0,-1,90,57,4,29
2020-07-14,4,0,1,3,94,58,4,32
2020-07-15,22,2,1,19,116,59,6,51
2020-07-16,3,1,1,1,119,60,7,52
2020-07-17,4,0,0,4,123,60,7,56
2020-07-18,0,0,0,0,123,60,7,56
2020-07-19,0,0,0,0,123,60,7,56
2020-07-20,2,0,0,2,125,60,7,58
2020-07-21,1,0,5,-4,126,65,7,54
2020-07-22,1,0,3,-2,127,68,7,52
2020-07-23,2,0,1,1,129,69,7,53
2020-07-24,2,0,11,-9,131,80,7,44
2020-07-25,5,0,2,3,136,82,7,47
2020-07-26,0,0,0,0,136,82,7,47
2020-07-27,0,0,0,0,136,82,7,47
2020-07-28,21,0,0,21,157,82,7,68
2020-07-29,34,3,0,31,191,82,10,99
2020-07-30,58,0,0,58,249,82,10,157
2020-07-31,72,0,0,72,321,82,10,229
2020-08-01,0,1,0,-1,321,82,11,228
2020-08-02,18,1,0,17,339,82,12,245
2020-08-03,2,1,0,1,341,82,13,246
2020-08-04,7,0,0,7,348,82,13,253
2020-08-05,0,0,0,0,348,82,13,253
2020-08-06,41,0,1,40,389,83,13,293
2020-08-07,53,0,0,53,442,83,13,346
2020-08-08,0,0,0,0,442,83,13,346
2020-08-09,44,1,0,43,486,83,14,389
2020-08-10,96,0,0,96,582,83,14,485
2020-08-11,0,1,0,-1,582,83,15,484
2020-08-12,72,2,71,-1,654,154,17,483
2020-08-13,1,1,0,0,655,154,18,483
2020-08-14,92,0,0,92,747,154,18,575
2020-08-15,25,2,0,23,772,154,20,598
2020-08-16,11,0,0,11,783,154,20,609
2020-08-17,168,0,0,168,951,154,20,777
2020-08-18,25,2,0,23,976,154,22,800
2020-08-19,63,0,0,63,1039,154,22,863
2020-08-20,4,0,0,4,1043,154,22,867
2020-08-21,4,2,0,2,1047,154,24,869
2020-08-22,70,0,0,70,1117,154,24,939
2020-08-23,0,2,0,-2,1117,154,26,937
2020-08-24,30,3,0,27,1147,154,29,964
2020-08-25,20,3,0,17,1167,154,32,981
2020-08-26,30,0,0,30,1197,154,32,1011
2020-08-27,108,0,0,108,1305,154,32,1119
2020-08-28,50,11,0,39,1355,154,43,1158
2020-08-29,97,6,0,91,1452,154,49,1249
2020-08-30,54,4,54,-4,1506,208,53,1245
2020-08-31,33,2,64,-33,1539,272,55,1212
2020-09-01,16,3,71,-58,1555,343,58,1154
2020-09-02,48,3,1,44,1603,344,61,1198
2020-09-03,97,3,8,86,1700,352,64,1284
2020-09-04,90,3,30,57,1790,382,67,1341
2020-09-05,61,1,0,60,1851,382,68,1401
2020-09-06,78,2,0,76,1929,382,70,1477
2020-09-07,19,3,0,16,1948,382,73,1493
2020-09-08,12,2,56,-46,1960,438,75,1447
2020-09-09,98,1,9,88,2058,447,76,1535
2020-09-10,106,2,1,103,2164,448,78,1638
2020-09-11,145,2,2,141,2309,450,80,1779
2020-09-12,124,0,1,123,2433,451,80,1902
2020-09-13,212,5,0,207,2645,451,85,2109
2020-09-14,153,5,47,101,2798,498,90,2210
2020-09-15,140,6,139,-5,2938,637,96,2205
