tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-06,1,0,0,1,1,0,0,1
2020-03-07,0,0,0,0,1,0,0,1
2020-03-08,0,0,3,-3,1,3,0,-2
2020-03-09,0,0,0,0,1,3,0,-2
2020-03-10,0,0,8,-8,1,11,0,-10
2020-03-11,0,0,8,-8,1,19,0,-18
2020-03-12,0,0,2,-2,1,21,0,-20
2020-03-13,1,1,0,0,2,21,1,-20
2020-03-14,1,0,2,-1,3,23,1,-21
2020-03-15,1,0,4,-3,4,27,1,-24
2020-03-16,0,0,4,-4,4,31,1,-28
2020-03-17,0,0,3,-3,4,34,1,-31
2020-03-18,0,1,1,-2,4,35,2,-33
2020-03-19,0,1,3,-4,4,38,3,-37
2020-03-20,0,3,2,-5,4,40,6,-42
2020-03-21,0,0,1,-1,4,41,6,-43
2020-03-22,0,1,0,-1,4,41,7,-44
2020-03-23,0,2,3,-5,4,44,9,-49
2020-03-24,0,1,2,-3,4,46,10,-52
2020-03-25,0,1,2,-3,4,48,11,-55
2020-03-26,0,0,4,-4,4,52,11,-59
2020-03-27,19,2,3,14,23,55,13,-45
2020-03-28,8,2,6,0,31,61,15,-45
2020-03-29,2,1,2,-1,33,63,16,-46
2020-03-30,20,0,2,18,53,65,16,-28
2020-03-31,10,0,1,9,63,66,16,-19
2020-04-01,11,1,5,5,74,71,17,-14
2020-04-02,4,1,1,2,78,72,18,-12
2020-04-03,3,0,3,0,81,75,18,-12
2020-04-04,3,2,1,0,84,76,20,-12
2020-04-05,3,1,2,0,87,78,21,-12
2020-04-06,10,2,7,1,97,85,23,-11
2020-04-07,6,0,3,3,103,88,23,-8
2020-04-08,17,0,5,12,120,93,23,4
2020-04-09,3,3,7,-7,123,100,26,-3
2020-04-10,16,1,4,11,139,104,27,8
2020-04-11,23,2,17,4,162,121,29,12
2020-04-12,0,1,6,-7,162,127,30,5
2020-04-13,4,1,8,-5,166,135,31,0
2020-04-14,4,2,3,-1,170,138,33,-1
2020-04-15,1,0,8,-7,171,146,33,-8
2020-04-16,11,0,1,10,182,147,33,2
2020-04-17,8,1,6,1,190,153,34,3
2020-04-18,8,1,4,3,198,157,35,6
2020-04-19,3,0,4,-1,201,161,35,5
2020-04-20,22,0,4,18,223,165,35,23
2020-04-21,0,3,3,-6,223,168,38,17
2020-04-22,3,0,6,-3,226,174,38,14
2020-04-23,3,0,0,3,229,174,38,17
2020-04-24,22,0,2,20,251,176,38,37
2020-04-25,9,1,2,6,260,178,39,43
2020-04-26,0,3,1,-4,260,179,42,39
2020-04-27,10,0,3,7,270,182,42,46
2020-04-28,5,0,2,3,275,184,42,49
2020-04-29,0,0,9,-9,275,193,42,40
2020-04-30,13,0,8,5,288,201,42,45
2020-05-01,14,0,3,11,302,204,42,56
