tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-11-13,61,1,0,60,61,0,1,60
2020-11-14,37,1,0,36,98,0,2,96
2020-11-15,11,1,0,10,109,0,3,106
2020-11-16,2,0,0,2,111,0,3,108
2020-11-17,14,1,0,13,125,0,4,121
2020-11-18,0,1,0,-1,125,0,5,120
2020-11-19,0,2,0,-2,125,0,7,118
2020-11-20,0,0,10,-10,125,10,7,108
2020-11-21,0,0,15,-15,125,25,7,93
2020-11-22,0,0,25,-25,125,50,7,68
2020-11-23,0,1,21,-22,125,71,8,46
2020-11-24,0,0,0,0,125,71,8,46
2020-11-25,0,0,6,-6,125,77,8,40
2020-11-26,0,0,0,0,125,77,8,40
2020-11-27,0,0,15,-15,125,92,8,25
2020-11-28,0,0,1,-1,125,93,8,24
2020-11-29,0,0,0,0,125,93,8,24
2020-11-30,0,0,24,-24,125,117,8,0
2020-12-01,0,0,0,0,125,117,8,0
2020-12-02,0,0,0,0,125,117,8,0
2020-12-03,0,0,0,0,125,117,8,0
2020-12-04,0,0,0,0,125,117,8,0
2020-12-05,0,0,0,0,125,117,8,0
2020-12-06,0,0,0,0,125,117,8,0
2020-12-07,0,0,0,0,125,117,8,0
2020-12-08,0,0,0,0,125,117,8,0
2020-12-09,0,0,0,0,125,117,8,0
2020-12-10,0,0,0,0,125,117,8,0
2020-12-11,0,0,0,0,125,117,8,0
2020-12-12,0,0,0,0,125,117,8,0
2020-12-13,0,0,0,0,125,117,8,0
2020-12-14,0,0,0,0,125,117,8,0
2020-12-15,0,0,0,0,125,117,8,0
2020-12-16,0,0,0,0,125,117,8,0
2020-12-17,0,0,0,0,125,117,8,0
2020-12-18,0,0,0,0,125,117,8,0
2020-12-19,0,0,0,0,125,117,8,0
2020-12-20,0,0,0,0,125,117,8,0
2020-12-21,0,0,0,0,125,117,8,0
2020-12-22,0,0,0,0,125,117,8,0
2020-12-23,0,0,0,0,125,117,8,0
2020-12-24,0,0,0,0,125,117,8,0
2020-12-25,0,0,0,0,125,117,8,0
2020-12-26,0,0,0,0,125,117,8,0
2020-12-27,0,0,0,0,125,117,8,0
2020-12-28,0,0,0,0,125,117,8,0
2020-12-29,0,0,0,0,125,117,8,0
2020-12-30,0,0,0,0,125,117,8,0
2020-12-31,0,0,0,0,125,117,8,0
2021-01-01,0,0,0,0,125,117,8,0
2021-01-02,0,0,0,0,125,117,8,0
2021-01-03,0,0,0,0,125,117,8,0
2021-01-04,0,0,0,0,125,117,8,0
2021-01-05,0,0,0,0,125,117,8,0
2021-01-06,0,0,0,0,125,117,8,0
2021-01-07,0,0,0,0,125,117,8,0
2021-01-08,0,0,0,0,125,117,8,0
2021-01-09,0,0,0,0,125,117,8,0
2021-01-10,0,0,0,0,125,117,8,0
2021-01-11,0,0,0,0,125,117,8,0
2021-01-12,0,0,0,0,125,117,8,0
2021-01-13,0,0,0,0,125,117,8,0
2021-01-14,0,0,0,0,125,117,8,0
2021-01-15,0,0,0,0,125,117,8,0
2021-01-16,0,0,0,0,125,117,8,0
