tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-16,1,0,0,1,1,0,0,1
2020-03-17,0,0,0,0,1,0,0,1
2020-03-18,0,0,0,0,1,0,0,1
2020-03-19,0,0,0,0,1,0,0,1
2020-03-20,0,0,0,0,1,0,0,1
2020-03-21,0,0,0,0,1,0,0,1
2020-03-22,0,0,0,0,1,0,0,1
2020-03-23,0,1,0,-1,1,0,1,0
2020-03-24,0,0,0,0,1,0,1,0
2020-03-25,1,1,0,0,2,0,2,0
2020-03-26,0,0,0,0,2,0,2,0
2020-03-27,1,0,0,1,3,0,2,1
2020-03-28,0,0,0,0,3,0,2,1
2020-03-29,0,0,0,0,3,0,2,1
2020-03-30,1,0,1,0,4,1,2,1
2020-03-31,4,0,0,4,8,1,2,5
2020-04-01,4,0,1,3,12,2,2,8
2020-04-02,0,1,0,-1,12,2,3,7
2020-04-03,0,0,0,0,12,2,3,7
2020-04-04,4,0,0,4,16,2,3,11
2020-04-05,1,0,0,1,17,2,3,12
2020-04-06,3,0,1,2,20,3,3,14
2020-04-07,0,0,0,0,20,3,3,14
2020-04-08,3,3,2,-2,23,5,6,12
2020-04-09,3,0,1,2,26,6,6,14
2020-04-10,3,0,3,0,29,9,6,14
2020-04-11,0,0,0,0,29,9,6,14
2020-04-12,0,0,3,-3,29,12,6,11
2020-04-13,15,0,0,15,44,12,6,26
2020-04-14,2,0,4,-2,46,16,6,24
2020-04-15,0,0,0,0,46,16,6,24
2020-04-16,1,0,0,1,47,16,6,25
2020-04-17,1,1,2,-2,48,18,7,23
2020-04-18,3,0,2,1,51,20,7,24
2020-04-19,1,0,1,0,52,21,7,24
2020-04-20,1,0,0,1,53,21,7,25
2020-04-21,3,0,3,0,56,24,7,25
2020-04-22,2,0,5,-3,58,29,7,22
2020-04-23,1,0,1,0,59,30,7,22
2020-04-24,0,0,0,0,59,30,7,22
2020-04-25,1,0,0,1,60,30,7,23
2020-04-26,3,0,0,3,63,30,7,26
2020-04-27,1,0,2,-1,64,32,7,25
2020-04-28,9,0,0,9,73,32,7,34
2020-04-29,1,0,1,0,74,33,7,34
2020-04-30,1,0,0,1,75,33,7,35
2020-05-01,7,0,4,3,82,37,7,38
2020-05-02,9,0,0,9,91,37,7,47
2020-05-03,1,0,0,1,92,37,7,48
2020-05-04,0,0,3,-3,92,40,7,45
2020-05-05,6,0,1,5,98,41,7,50
2020-05-06,0,0,4,-4,98,45,7,46
2020-05-07,14,0,1,13,112,46,7,59
2020-05-08,4,0,0,4,116,46,7,63
2020-05-09,2,0,1,1,118,47,7,64
2020-05-10,7,0,0,7,125,47,7,71
2020-05-11,6,1,6,-1,131,53,8,70
2020-05-12,8,0,0,8,139,53,8,78
2020-05-13,11,0,1,10,150,54,8,88
2020-05-14,3,0,4,-1,153,58,8,87
2020-05-15,3,0,12,-9,156,70,8,78
2020-05-16,4,0,1,3,160,71,8,81
2020-05-17,4,0,3,1,164,74,8,82
2020-05-18,1,0,2,-1,165,76,8,81
2020-05-19,5,0,10,-5,170,86,8,76
2020-05-20,2,0,7,-5,172,93,8,71
2020-05-21,5,0,6,-1,177,99,8,70
2020-05-22,5,0,2,3,182,101,8,73
2020-05-23,4,0,4,0,186,105,8,73
2020-05-24,0,0,3,-3,186,108,8,70
2020-05-25,0,0,1,-1,186,109,8,69
2020-05-26,0,0,3,-3,186,112,8,66
2020-05-27,2,0,9,-7,188,121,8,59
2020-05-28,0,0,7,-7,188,128,8,52
2020-05-29,2,0,5,-3,190,133,8,49
2020-05-30,3,0,1,2,193,134,8,51
2020-05-31,3,0,6,-3,196,140,8,48
2020-06-01,1,0,0,1,197,140,8,49
2020-06-02,0,0,1,-1,197,141,8,48
2020-06-03,0,0,1,-1,197,142,8,47
2020-06-04,0,0,3,-3,197,145,8,44
2020-06-05,1,0,5,-4,198,150,8,40
2020-06-06,4,0,5,-1,202,155,8,39
2020-06-07,1,0,2,-1,203,157,8,38
2020-06-08,3,0,6,-3,206,163,8,35
2020-06-09,1,0,0,1,207,163,8,36
2020-06-10,1,0,0,1,208,163,8,37
2020-06-11,2,0,3,-1,210,166,8,36
2020-06-12,9,0,4,5,219,170,8,41
2020-06-13,2,0,4,-2,221,174,8,39
2020-06-14,3,0,1,2,224,175,8,41
2020-06-15,3,0,1,2,227,176,8,43
2020-06-16,1,0,3,-2,228,179,8,41
2020-06-17,3,0,2,1,231,181,8,42
2020-06-18,0,0,6,-6,231,187,8,36
2020-06-19,1,0,4,-3,232,191,8,33
2020-06-20,7,0,0,7,239,191,8,40
2020-06-21,2,0,5,-3,241,196,8,37
2020-06-22,0,0,0,0,241,196,8,37
2020-06-23,2,0,4,-2,243,200,8,35
2020-06-24,1,0,12,-11,244,212,8,24
2020-06-25,7,0,3,4,251,215,8,28
2020-06-26,3,0,3,0,254,218,8,28
2020-06-27,2,0,1,1,256,219,8,29
2020-06-28,1,0,1,0,257,220,8,29
2020-06-29,0,0,1,-1,257,221,8,28
2020-06-30,7,0,1,6,264,222,8,34
2020-07-01,1,0,2,-1,265,224,8,33
2020-07-02,6,1,4,1,271,228,9,34
2020-07-03,4,0,3,1,275,231,9,35
2020-07-04,1,0,1,0,276,232,9,35
2020-07-05,6,0,0,6,282,232,9,41
2020-07-06,7,0,4,3,289,236,9,44
2020-07-07,7,0,3,4,296,239,9,48
2020-07-08,2,1,1,0,298,240,10,48
2020-07-09,7,0,4,3,305,244,10,51
2020-07-10,5,0,2,3,310,246,10,54
2020-07-11,4,0,1,3,314,247,10,57
2020-07-12,1,0,3,-2,315,250,10,55
2020-07-13,5,0,7,-2,320,257,10,53
2020-07-14,7,1,5,1,327,262,11,54
2020-07-15,5,0,1,4,332,263,11,58
2020-07-16,8,0,0,8,340,263,11,66
2020-07-17,4,0,2,2,344,265,11,68
2020-07-18,7,0,8,-1,351,273,11,67
2020-07-19,11,1,0,10,362,273,12,77
2020-07-20,6,1,3,2,368,276,13,79
2020-07-21,21,1,3,17,389,279,14,96
2020-07-22,16,2,0,14,405,279,16,110
2020-07-23,5,0,4,1,410,283,16,111
2020-07-24,22,1,6,15,432,289,17,126
2020-07-25,12,1,5,6,444,294,18,132
2020-07-26,5,1,0,4,449,294,19,136
2020-07-27,13,0,3,10,462,297,19,146
2020-07-28,11,1,4,6,473,301,20,152
2020-07-29,10,0,8,2,483,309,20,154
2020-07-30,16,0,10,6,499,319,20,160
2020-07-31,48,0,13,35,547,332,20,195
2020-08-01,56,0,8,48,603,340,20,243
