tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-03,1,1,0,0,1,0,1,0
2020-03-04,1,0,0,1,2,0,1,1
2020-03-05,1,0,0,1,3,0,1,2
2020-03-06,1,0,0,1,4,0,1,3
2020-03-07,0,0,0,0,4,0,1,3
2020-03-08,0,0,0,0,4,0,1,3
2020-03-09,0,0,0,0,4,0,1,3
2020-03-10,0,0,0,0,4,0,1,3
2020-03-11,0,1,0,-1,4,0,2,2
2020-03-12,1,0,0,1,5,0,2,3
2020-03-13,4,0,1,3,9,1,2,6
2020-03-14,0,0,0,0,9,1,2,6
2020-03-15,0,0,1,-1,9,2,2,5
2020-03-16,0,0,2,-2,9,4,2,3
2020-03-17,11,0,0,11,20,4,2,14
2020-03-18,4,1,2,1,24,6,3,15
2020-03-19,5,1,1,3,29,7,4,18
2020-03-20,16,4,0,12,45,7,8,30
2020-03-21,5,0,0,5,50,7,8,35
2020-03-22,3,3,1,-1,53,8,11,34
2020-03-23,6,4,0,2,59,8,15,36
2020-03-24,2,2,2,-2,61,10,17,34
2020-03-25,5,0,1,4,66,11,17,38
2020-03-26,5,1,0,4,71,11,18,42
2020-03-27,16,3,1,12,87,12,21,54
2020-03-28,19,3,1,15,106,13,24,69
2020-03-29,27,3,2,22,133,15,27,91
2020-03-30,19,3,5,11,152,20,30,102
2020-03-31,7,0,3,4,159,23,30,106
2020-04-01,20,1,2,17,179,25,31,123
2020-04-02,15,5,1,9,194,26,36,132
2020-04-03,2,1,2,-1,196,28,37,131
2020-04-04,20,4,1,15,216,29,41,146
2020-04-05,6,2,1,3,222,30,43,149
2020-04-06,10,3,4,3,232,34,46,152
2020-04-07,76,3,2,71,308,36,49,223
2020-04-08,22,5,3,14,330,39,54,237
2020-04-09,12,6,4,2,342,43,60,239
2020-04-10,10,0,1,9,352,44,60,248
2020-04-11,29,4,3,22,381,47,64,270
