tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-29,7,0,2,5,7,2,0,5
2020-03-30,1,0,0,1,8,2,0,6
2020-03-31,0,0,0,0,8,2,0,6
2020-04-01,1,0,0,1,9,2,0,7
2020-04-02,0,1,0,-1,9,2,1,6
2020-04-03,0,0,0,0,9,2,1,6
2020-04-04,0,0,0,0,9,2,1,6
2020-04-05,0,0,0,0,9,2,1,6
2020-04-06,0,0,0,0,9,2,1,6
2020-04-07,1,0,1,0,10,3,1,6
2020-04-08,0,0,0,0,10,3,1,6
2020-04-09,0,0,0,0,10,3,1,6
2020-04-10,0,0,0,0,10,3,1,6
2020-04-11,0,0,0,0,10,3,1,6
2020-04-12,3,0,0,3,13,3,1,9
2020-04-13,0,0,0,0,13,3,1,9
2020-04-14,0,0,2,-2,13,5,1,7
2020-04-15,0,0,0,0,13,5,1,7
2020-04-16,8,0,0,8,21,5,1,15
2020-04-17,0,0,0,0,21,5,1,15
2020-04-18,0,0,0,0,21,5,1,15
2020-04-19,0,0,0,0,21,5,1,15
2020-04-20,0,0,0,0,21,5,1,15
2020-04-21,6,0,1,5,27,6,1,20
2020-04-22,4,0,1,3,31,7,1,23
2020-04-23,19,0,0,19,50,7,1,42
2020-04-24,0,0,0,0,50,7,1,42
2020-04-25,1,0,0,1,51,7,1,43
2020-04-26,0,0,0,0,51,7,1,43
2020-04-27,0,0,0,0,51,7,1,43
2020-04-28,0,0,0,0,51,7,1,43
2020-04-29,7,0,0,7,58,7,1,50
2020-04-30,0,0,0,0,58,7,1,50
2020-05-01,3,0,0,3,61,7,1,53
2020-05-02,7,0,0,7,68,7,1,60
2020-05-03,2,0,0,2,70,7,1,62
2020-05-04,3,0,0,3,73,7,1,65
2020-05-05,0,0,0,0,73,7,1,65
2020-05-06,17,0,3,14,90,10,1,79
2020-05-07,5,0,0,5,95,10,1,84
2020-05-08,0,0,0,0,95,10,1,84
2020-05-09,23,0,0,23,118,10,1,107
2020-05-10,2,0,0,2,120,10,1,109
2020-05-11,0,0,0,0,120,10,1,109
2020-05-12,3,0,9,-6,123,19,1,103
2020-05-13,6,1,2,3,129,21,2,106
2020-05-14,0,0,0,0,129,21,2,106
2020-05-15,0,0,0,0,129,21,2,106
2020-05-16,2,0,0,2,131,21,2,108
2020-05-17,1,0,2,-1,132,23,2,107
2020-05-18,0,0,8,-8,132,31,2,99
2020-05-19,0,0,0,0,132,31,2,99
2020-05-20,0,0,0,0,132,31,2,99
2020-05-21,1,0,5,-4,133,36,2,95
2020-05-22,7,0,1,6,140,37,2,101
2020-05-23,28,0,0,28,168,37,2,129
2020-05-24,0,0,0,0,168,37,2,129
2020-05-25,7,0,5,2,175,42,2,131
2020-05-26,1,0,1,0,176,43,2,131
2020-05-27,7,0,0,7,183,43,2,138
2020-05-28,1,0,0,1,184,43,2,139
2020-05-29,0,0,3,-3,184,46,2,136
2020-05-30,0,0,0,0,184,46,2,136
2020-05-31,5,0,5,0,189,51,2,136
2020-06-01,7,0,3,4,196,54,2,140
2020-06-02,0,0,0,0,196,54,2,140
2020-06-03,6,0,24,-18,202,78,2,122
2020-06-04,0,0,15,-15,202,93,2,107
2020-06-05,3,0,15,-12,205,108,2,95
2020-06-06,5,0,5,0,210,113,2,95
2020-06-07,0,0,0,0,210,113,2,95
2020-06-08,0,0,3,-3,210,116,2,92
2020-06-09,24,0,1,23,234,117,2,115
2020-06-10,11,0,20,-9,245,137,2,106
2020-06-11,0,0,7,-7,245,144,2,99
2020-06-12,22,0,1,21,267,145,2,120
2020-06-13,0,0,4,-4,267,149,2,116
2020-06-14,1,0,9,-8,268,158,2,108
2020-06-15,0,0,7,-7,268,165,2,101
2020-06-16,2,0,1,1,270,166,2,102
2020-06-17,12,0,0,12,282,166,2,114
2020-06-18,0,0,6,-6,282,172,2,108
2020-06-19,14,0,13,1,296,185,2,109
2020-06-20,2,0,9,-7,298,194,2,102
2020-06-21,0,0,21,-21,298,215,2,81
2020-06-22,0,0,3,-3,298,218,2,78
2020-06-23,15,0,4,11,313,222,2,89
2020-06-24,0,0,5,-5,313,227,2,84
2020-06-25,0,0,7,-7,313,234,2,77
2020-06-26,0,0,6,-6,313,240,2,71
2020-06-27,8,0,10,-2,321,250,2,69
2020-06-28,0,0,8,-8,321,258,2,61
2020-06-29,0,0,4,-4,321,262,2,57
2020-06-30,0,0,5,-5,321,267,2,52
2020-07-01,15,0,3,12,336,270,2,64
2020-07-02,0,0,0,0,336,270,2,64
2020-07-03,0,0,6,-6,336,276,2,58
2020-07-04,0,0,4,-4,336,280,2,54
2020-07-05,3,0,19,-16,339,299,2,38
2020-07-06,0,0,0,0,339,299,2,38
2020-07-07,5,0,5,0,344,304,2,38
2020-07-08,0,0,1,-1,344,305,2,37
2020-07-09,3,0,2,1,347,307,2,38
2020-07-10,0,0,0,0,347,307,2,38
2020-07-11,0,0,19,-19,347,326,2,19
2020-07-12,3,0,0,3,350,326,2,22
2020-07-13,5,0,1,4,355,327,2,26
2020-07-14,0,0,12,-12,355,339,2,14
2020-07-15,0,0,0,0,355,339,2,14
