tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-30,5,0,0,5,5,0,0,5
2020-03-31,2,0,0,2,7,0,0,7
2020-04-01,0,0,0,0,7,0,0,7
2020-04-02,0,0,0,0,7,0,0,7
2020-04-03,0,0,0,0,7,0,0,7
2020-04-04,0,0,0,0,7,0,0,7
2020-04-05,8,1,0,7,15,0,1,14
2020-04-06,2,0,0,2,17,0,1,16
2020-04-07,0,2,0,-2,17,0,3,14
2020-04-08,4,0,1,3,21,1,3,17
2020-04-09,0,1,2,-3,21,3,4,14
2020-04-10,7,0,0,7,28,3,4,21
2020-04-11,0,1,0,-1,28,3,5,20
2020-04-12,5,0,0,5,33,3,5,25
2020-04-13,1,0,1,0,34,4,5,25
2020-04-14,3,2,0,1,37,4,7,26
2020-04-15,12,0,1,11,49,5,7,37
2020-04-16,9,0,4,5,58,9,7,42
2020-04-17,15,0,0,15,73,9,7,57
2020-04-18,18,0,1,17,91,10,7,74
2020-04-19,4,0,0,4,95,10,7,78
2020-04-20,0,0,0,0,95,10,7,78
2020-04-21,2,0,1,1,97,11,7,79
2020-04-22,10,0,0,10,107,11,7,89
2020-04-23,7,1,0,6,114,11,8,95
2020-04-24,18,0,0,18,132,11,8,113
2020-04-25,14,0,4,10,146,15,8,123
2020-04-26,0,0,1,-1,146,16,8,122
2020-04-27,4,0,0,4,150,16,8,126
2020-04-28,0,1,4,-5,150,20,9,121
2020-04-29,7,0,0,7,157,20,9,128
2020-04-30,13,0,0,13,170,20,9,141
2020-05-01,9,0,4,5,179,24,9,146
2020-05-02,0,0,0,0,179,24,9,146
2020-05-03,16,0,0,16,195,24,9,162
2020-05-04,3,0,0,3,198,24,9,165
2020-05-05,14,0,0,14,212,24,9,179
2020-05-06,13,0,0,13,225,24,9,192
2020-05-07,13,0,0,13,238,24,9,205
2020-05-08,8,0,0,8,246,24,9,213
2020-05-09,7,0,0,7,253,24,9,220
2020-05-10,7,0,0,7,260,24,9,227
2020-05-11,0,0,0,0,260,24,9,227
2020-05-12,14,0,0,14,274,24,9,241
2020-05-13,13,0,0,13,287,24,9,254
2020-05-14,2,0,0,2,289,24,9,256
2020-05-15,67,27,0,40,356,24,36,296
2020-05-16,7,0,50,-43,363,74,36,253
2020-05-17,2,8,0,-6,365,74,44,247
2020-05-18,71,2,0,69,436,74,46,316
2020-05-19,46,5,3,38,482,77,51,354
2020-05-20,59,4,0,55,541,77,55,409
2020-05-21,8,4,1,3,549,78,59,412
2020-05-22,21,0,0,21,570,78,59,433
2020-05-23,18,2,0,16,588,78,61,449
2020-05-24,9,2,3,4,597,81,63,453
2020-05-25,3,2,0,1,600,81,65,454
2020-05-26,28,8,0,20,628,81,73,474
2020-05-27,73,0,0,73,701,81,73,547
2020-05-28,114,1,2,111,815,83,74,658
2020-05-29,73,5,15,53,888,98,79,711
2020-05-30,3,0,2,1,891,100,79,712
2020-05-31,26,6,0,20,917,100,85,732
2020-06-01,29,1,0,28,946,100,86,760
2020-06-02,21,3,2,16,967,102,89,776
2020-06-03,64,3,0,61,1031,102,92,837
2020-06-04,109,0,3,106,1140,105,92,943
2020-06-05,71,2,0,69,1211,105,94,1012
2020-06-06,33,2,4,27,1244,109,96,1039
2020-06-07,38,3,0,35,1282,109,99,1074
2020-06-08,62,0,9,53,1344,118,99,1127
2020-06-09,91,8,1,82,1435,119,107,1209
2020-06-10,127,4,10,113,1562,129,111,1322
2020-06-11,70,4,36,30,1632,165,115,1352
2020-06-12,60,3,15,42,1692,180,118,1394
2020-06-13,123,6,22,95,1815,202,124,1489
2020-06-14,70,6,29,35,1885,231,130,1524
2020-06-15,66,4,16,46,1951,247,134,1570
2020-06-16,169,6,6,157,2120,253,140,1727
2020-06-17,87,9,79,-1,2207,332,149,1726
2020-06-18,118,2,14,102,2325,346,151,1828
2020-06-19,66,3,14,49,2391,360,154,1877
2020-06-20,84,10,25,49,2475,385,164,1926
2020-06-21,94,2,10,82,2569,395,166,2008
2020-06-22,89,0,10,79,2658,405,166,2087
2020-06-23,27,1,28,-2,2685,433,167,2085
2020-06-24,90,7,15,68,2775,448,174,2153
2020-06-25,59,3,86,-30,2834,534,177,2123
2020-06-26,41,0,15,26,2875,549,177,2149
2020-06-27,54,4,94,-44,2929,643,181,2105
2020-06-28,73,4,80,-11,3002,723,185,2094
2020-06-29,38,3,5,30,3040,728,188,2124
2020-06-30,108,1,38,69,3148,766,189,2193
2020-07-01,75,0,23,52,3223,789,189,2245
2020-07-02,113,5,51,57,3336,840,194,2302
2020-07-03,110,3,28,79,3446,868,197,2381
2020-07-04,73,2,42,29,3519,910,199,2410
2020-07-05,44,2,32,10,3563,942,201,2420
2020-07-06,64,3,15,46,3627,957,204,2466
2020-07-07,67,1,107,-41,3694,1064,205,2425
2020-07-08,123,3,62,58,3817,1126,208,2483
2020-07-09,106,2,22,82,3923,1148,210,2565
2020-07-10,66,0,55,11,3989,1203,210,2576
2020-07-11,79,5,75,-1,4068,1278,215,2575
2020-07-12,77,5,107,-35,4145,1385,220,2540
2020-07-13,73,3,24,46,4218,1409,223,2586
2020-07-14,161,2,54,105,4379,1463,225,2691
2020-07-15,109,8,41,60,4488,1504,233,2751
2020-07-16,133,2,66,65,4621,1570,235,2816
2020-07-17,101,7,42,52,4722,1612,242,2868
2020-07-18,107,3,88,16,4829,1700,245,2884
2020-07-19,110,5,30,75,4939,1730,250,2959
2020-07-20,52,6,99,-53,4991,1829,256,2906
2020-07-21,92,5,191,-104,5083,2020,261,2802
2020-07-22,133,1,134,-2,5216,2154,262,2800
2020-07-23,116,0,115,1,5332,2269,262,2801
2020-07-24,90,3,271,-184,5422,2540,265,2617
2020-07-25,118,5,178,-65,5540,2718,270,2552
2020-07-26,115,2,131,-18,5655,2849,272,2534
2020-07-27,33,3,67,-37,5688,2916,275,2497
2020-07-28,94,4,157,-67,5782,3073,279,2430
2020-07-29,101,8,71,22,5883,3144,287,2452
2020-07-30,87,1,155,-69,5970,3299,288,2383
2020-07-31,128,6,68,54,6098,3367,294,2437
2020-08-01,62,0,82,-20,6160,3449,294,2417
2020-08-02,32,0,18,14,6192,3467,294,2431
2020-08-03,46,2,92,-48,6238,3559,296,2383
2020-08-04,119,1,50,68,6357,3609,297,2451
2020-08-05,54,0,95,-41,6411,3704,297,2410
2020-08-06,67,0,25,42,6478,3729,297,2452
2020-08-07,57,3,121,-67,6535,3850,300,2385
2020-08-08,82,2,42,38,6617,3892,302,2423
2020-08-09,98,3,133,-38,6715,4025,305,2385
2020-08-10,50,1,28,21,6765,4053,306,2406
2020-08-11,71,1,82,-12,6836,4135,307,2394
2020-08-12,53,2,86,-35,6889,4221,309,2359
2020-08-13,45,4,26,15,6934,4247,313,2374
2020-08-14,55,2,57,-4,6989,4304,315,2370
2020-08-15,62,3,36,23,7051,4340,318,2393
2020-08-16,100,0,83,17,7151,4423,318,2410
2020-08-17,90,6,126,-42,7241,4549,324,2368
2020-08-18,40,0,40,0,7281,4589,324,2368
2020-08-19,82,1,136,-55,7363,4725,325,2313
2020-08-20,181,0,74,107,7544,4799,325,2420
2020-08-21,74,2,275,-203,7618,5074,327,2217
2020-08-22,78,3,230,-155,7696,5304,330,2062
2020-08-23,81,2,77,2,7777,5381,332,2064
2020-08-24,61,2,47,12,7838,5428,334,2076
2020-08-25,82,4,66,12,7920,5494,338,2088
2020-08-26,54,2,141,-89,7974,5635,340,1999
2020-08-27,39,2,184,-147,8013,5819,342,1852
2020-08-28,68,5,180,-117,8081,5999,347,1735
2020-08-29,111,3,149,-41,8192,6148,350,1694
2020-08-30,64,2,96,-34,8256,6244,352,1660
2020-08-31,32,1,42,-11,8288,6286,353,1649
2020-09-01,69,1,102,-34,8357,6388,354,1615
2020-09-02,59,4,105,-50,8416,6493,358,1565
2020-09-03,111,4,139,-32,8527,6632,362,1533
2020-09-04,49,0,37,12,8576,6669,362,1545
2020-09-05,81,6,37,38,8657,6706,368,1583
2020-09-06,103,1,95,7,8760,6801,369,1590
2020-09-07,77,2,49,26,8837,6850,371,1616
2020-09-08,66,1,38,27,8903,6888,372,1643
2020-09-09,99,1,106,-8,9002,6994,373,1635
2020-09-10,77,6,138,-67,9079,7132,379,1568
2020-09-11,73,1,101,-29,9152,7233,380,1539
2020-09-12,96,5,84,7,9248,7317,385,1546
2020-09-13,33,0,78,-45,9281,7395,385,1501
2020-09-14,141,3,78,60,9422,7473,388,1561
2020-09-15,77,1,56,20,9499,7529,389,1581
2020-09-16,11,2,58,-49,9510,7587,391,1532
2020-09-17,36,0,37,-1,9546,7624,391,1531
2020-09-18,25,2,199,-176,9571,7823,393,1355
2020-09-19,76,2,247,-173,9647,8070,395,1182
2020-09-20,87,3,59,25,9734,8129,398,1207
2020-09-21,82,2,96,-16,9816,8225,400,1191
2020-09-22,85,0,40,45,9901,8265,400,1236
2020-09-23,82,3,104,-25,9983,8369,403,1211
2020-09-24,63,1,81,-19,10046,8450,404,1192
2020-09-25,33,4,51,-22,10079,8501,408,1170
2020-09-26,40,2,16,22,10119,8517,410,1192
2020-09-27,77,1,75,1,10196,8592,411,1193
2020-09-28,40,5,89,-54,10236,8681,416,1139
2020-09-29,53,2,64,-13,10289,8745,418,1126
2020-09-30,59,2,38,19,10348,8783,420,1145
2020-10-01,55,0,73,-18,10403,8856,420,1127
2020-10-02,75,4,63,8,10478,8919,424,1135
2020-10-03,84,2,71,11,10562,8990,426,1146
2020-10-04,59,1,97,-39,10621,9087,427,1107
2020-10-05,44,1,32,11,10665,9119,428,1118
2020-10-06,73,3,107,-37,10738,9226,431,1081
2020-10-07,40,1,68,-29,10778,9294,432,1052
2020-10-08,42,5,69,-32,10820,9363,437,1020
2020-10-09,81,1,142,-62,10901,9505,438,958
2020-10-10,53,1,22,30,10954,9527,439,988
2020-10-11,75,1,79,-5,11029,9606,440,983
2020-10-12,27,1,45,-19,11056,9651,441,964
2020-10-13,77,1,111,-35,11133,9762,442,929
2020-10-14,55,3,54,-2,11188,9816,445,927
2020-10-15,76,1,59,16,11264,9875,446,943
2020-10-16,68,2,43,23,11332,9918,448,966
2020-10-17,71,2,66,3,11403,9984,450,969
2020-10-18,39,2,58,-21,11442,10042,452,948
2020-10-19,8,2,33,-27,11450,10075,454,921
2020-10-20,42,2,42,-2,11492,10117,456,919
2020-10-21,19,3,37,-21,11511,10154,459,898
2020-10-22,28,3,42,-17,11539,10196,462,881
2020-10-23,48,3,80,-35,11587,10276,465,846
2020-10-24,46,3,99,-56,11633,10375,468,790
2020-10-25,19,3,52,-36,11652,10427,471,754
2020-10-26,2,2,56,-56,11654,10483,473,698
2020-10-27,12,3,32,-23,11666,10515,476,675
2020-10-28,69,2,80,-13,11735,10595,478,662
2020-10-29,32,2,43,-13,11767,10638,480,649
2020-10-30,44,1,59,-16,11811,10697,481,633
2020-10-31,48,3,78,-33,11859,10775,484,600
2020-11-01,25,2,75,-52,11884,10850,486,548
2020-11-02,12,0,25,-13,11896,10875,486,535
2020-11-03,16,1,53,-38,11912,10928,487,497
2020-11-04,22,0,41,-19,11934,10969,487,478
2020-11-05,94,1,27,66,12028,10996,488,544
2020-11-06,59,2,45,12,12087,11041,490,556
2020-11-07,43,2,15,26,12130,11056,492,582
2020-11-08,46,2,16,28,12176,11072,494,610
2020-11-09,12,1,8,3,12188,11080,495,613
2020-11-10,59,0,43,16,12247,11123,495,629
2020-11-11,68,2,61,5,12315,11184,497,634
2020-11-12,50,2,28,20,12365,11212,499,654
2020-11-13,31,1,29,1,12396,11241,500,655
2020-11-14,51,1,91,-41,12447,11332,501,614
2020-11-15,74,0,35,39,12521,11367,501,653
2020-11-16,22,2,46,-26,12543,11413,503,627
2020-11-17,14,0,173,-159,12557,11586,503,468
2020-11-18,83,1,2,80,12640,11588,504,548
2020-11-19,40,3,2,35,12680,11590,507,583
2020-11-20,58,3,3,52,12738,11593,510,635
2020-11-21,89,1,0,88,12827,11593,511,723
2020-11-22,75,3,1,71,12902,11594,514,794
2020-11-23,11,0,9,2,12913,11603,514,796
2020-11-24,21,2,26,-7,12934,11629,516,789
2020-11-25,64,1,29,34,12998,11658,517,823
2020-11-26,49,3,16,30,13047,11674,520,853
2020-11-27,44,2,39,3,13091,11713,522,856
2020-11-28,56,1,18,37,13147,11731,523,893
2020-11-29,40,3,14,23,13187,11745,526,916
2020-11-30,12,1,32,-21,13199,11777,527,895
2020-12-01,82,4,39,39,13281,11816,531,934
2020-12-02,33,1,73,-41,13314,11889,532,893
2020-12-03,54,2,10,42,13368,11899,534,935
2020-12-04,71,2,84,-15,13439,11983,536,920
2020-12-05,96,0,13,83,13535,11996,536,1003
2020-12-06,70,1,27,42,13605,12023,537,1045
2020-12-07,28,1,10,17,13633,12033,538,1062
2020-12-08,62,1,31,30,13695,12064,539,1092
2020-12-09,83,3,225,-145,13778,12289,542,947
2020-12-10,46,2,109,-65,13824,12398,544,882
2020-12-11,56,5,51,0,13880,12449,549,882
2020-12-12,91,2,117,-28,13971,12566,551,854
2020-12-13,104,1,55,48,14075,12621,552,902
2020-12-14,48,1,60,-13,14123,12681,553,889
2020-12-15,48,2,68,-22,14171,12749,555,867
2020-12-16,72,0,66,6,14243,12815,555,873
2020-12-17,95,0,94,1,14338,12909,555,874
2020-12-18,82,1,123,-42,14420,13032,556,832
2020-12-19,78,5,102,-29,14498,13134,561,803
2020-12-20,88,2,41,45,14586,13175,563,848
2020-12-21,43,3,25,15,14629,13200,566,863
2020-12-22,66,2,32,32,14695,13232,568,895
2020-12-23,90,2,39,49,14785,13271,570,944
2020-12-24,95,3,33,59,14880,13304,573,1003
2020-12-25,93,0,75,18,14973,13379,573,1021
2020-12-26,63,0,93,-30,15036,13472,573,991
2020-12-27,45,2,35,8,15081,13507,575,999
2020-12-28,21,0,40,-19,15102,13547,575,980
2020-12-29,61,3,99,-41,15163,13646,578,939
2020-12-30,74,2,72,0,15237,13718,580,939
2020-12-31,66,4,82,-20,15303,13800,584,919
2021-01-01,99,0,61,38,15402,13861,584,957
2021-01-02,17,2,45,-30,15419,13906,586,927
2021-01-03,71,1,80,-10,15490,13986,587,917
2021-01-04,20,2,69,-51,15510,14055,589,866
2021-01-05,81,1,59,21,15591,14114,590,887
2021-01-06,88,2,59,27,15679,14173,592,914
2021-01-07,93,0,47,46,15772,14220,592,960
2021-01-08,89,1,46,42,15861,14266,593,1002
2021-01-09,98,1,61,36,15959,14327,594,1038
2021-01-10,120,3,45,72,16079,14372,597,1110
2021-01-11,114,2,59,53,16193,14431,599,1163
2021-01-12,34,1,91,-58,16227,14522,600,1105
2021-01-13,69,2,37,30,16296,14559,602,1135
2021-01-14,101,2,75,24,16397,14634,604,1159
2021-01-15,107,1,77,29,16504,14711,605,1188
2021-01-16,108,3,76,29,16612,14787,608,1217
2021-01-17,112,2,62,48,16724,14849,610,1265
2021-01-18,13,3,82,-72,16737,14931,613,1193
2021-01-19,68,2,42,24,16805,14973,615,1217
2021-01-20,32,1,44,-13,16837,15017,616,1204
2021-01-21,106,2,77,27,16943,15094,618,1231
2021-01-22,107,3,93,11,17050,15187,621,1242
2021-01-23,137,2,105,30,17187,15292,623,1272
2021-01-24,120,2,87,31,17307,15379,625,1303
2021-01-25,133,2,138,-7,17440,15517,627,1296
2021-01-26,97,5,75,17,17537,15592,632,1313
2021-01-27,62,3,101,-42,17599,15693,635,1271
2021-01-28,103,1,49,53,17702,15742,636,1324
2021-01-29,120,3,100,17,17822,15842,639,1341
2021-01-30,130,2,42,86,17952,15884,641,1427
2021-01-31,124,3,88,33,18076,15972,644,1460
2021-02-01,74,3,58,13,18150,16030,647,1473
2021-02-02,87,2,64,21,18237,16094,649,1494
2021-02-03,104,2,45,57,18341,16139,651,1551
2021-02-04,111,5,138,-32,18452,16277,656,1519
2021-02-05,128,2,64,62,18580,16341,658,1581
2021-02-06,140,4,154,-18,18720,16495,662,1563
2021-02-07,117,3,56,58,18837,16551,665,1621
2021-02-08,80,2,34,44,18917,16585,667,1665
2021-02-09,115,3,181,-69,19032,16766,670,1596
2021-02-10,145,2,190,-47,19177,16956,672,1549
2021-02-11,139,2,108,29,19316,17064,674,1578
2021-02-12,136,3,65,68,19452,17129,677,1646
2021-02-13,144,0,120,24,19596,17249,677,1670
2021-02-14,97,5,92,0,19693,17341,682,1670
2021-02-15,146,0,21,125,19839,17362,682,1795
2021-02-16,139,0,52,87,19978,17414,682,1882
2021-02-17,151,1,8,142,20129,17422,683,2024
2021-02-18,120,0,109,11,20249,17531,683,2035
2021-02-19,180,12,211,-43,20429,17742,695,1992
2021-02-20,183,0,382,-199,20612,18124,695,1793
2021-02-21,162,2,153,7,20774,18277,697,1800
2021-02-22,107,7,194,-94,20881,18471,704,1706
2021-02-23,101,1,117,-17,20982,18588,705,1689
2021-02-24,133,3,129,1,21115,18717,708,1690
2021-02-25,179,5,93,81,21294,18810,713,1771
2021-02-26,186,3,294,-111,21480,19104,716,1660
2021-02-27,187,1,128,58,21667,19232,717,1718
2021-02-28,170,3,43,124,21837,19275,720,1842
2021-03-01,206,1,91,114,22043,19366,721,1956
2021-03-02,187,6,102,79,22230,19468,727,2035
2021-03-03,179,2,121,56,22409,19589,729,2091
2021-03-04,167,5,129,33,22576,19718,734,2124
2021-03-05,197,3,242,-48,22773,19960,737,2076
2021-03-06,171,6,83,82,22944,20043,743,2158
2021-03-07,196,2,136,58,23140,20179,745,2216
2021-03-08,160,2,265,-107,23300,20444,747,2109
2021-03-09,126,4,131,-9,23426,20575,751,2100
2021-03-10,112,4,114,-6,23538,20689,755,2094
2021-03-11,196,2,125,69,23734,20814,757,2163
2021-03-12,199,3,72,124,23933,20886,760,2287
2021-03-13,197,3,146,48,24130,21032,763,2335
2021-03-14,204,5,279,-80,24334,21311,768,2255
2021-03-15,175,4,142,29,24509,21453,772,2284
2021-03-16,191,2,266,-77,24700,21719,774,2207
2021-03-17,158,5,130,23,24858,21849,779,2230
2021-03-18,118,4,134,-20,24976,21983,783,2210
2021-03-19,197,4,157,36,25173,22140,787,2246
2021-03-20,215,4,188,23,25388,22328,791,2269
2021-03-21,228,0,116,112,25616,22444,791,2381
2021-03-22,207,4,91,112,25823,22535,795,2493
2021-03-23,140,4,117,19,25963,22652,799,2512
2021-03-24,190,5,363,-178,26153,23015,804,2334
2021-03-25,236,3,110,123,26389,23125,807,2457
2021-03-26,215,3,159,53,26604,23284,810,2510
2021-03-27,267,4,164,99,26871,23448,814,2609
2021-03-28,248,6,196,46,27119,23644,820,2655
2021-03-29,275,6,217,52,27394,23861,826,2707
2021-03-30,221,3,82,136,27615,23943,829,2843
2021-03-31,267,4,83,180,27882,24026,833,3023
2021-04-01,262,4,258,0,28144,24284,837,3023
2021-04-02,283,5,141,137,28427,24425,842,3160
2021-04-03,154,5,220,-71,28581,24645,847,3089
2021-04-04,290,0,258,32,28871,24903,847,3121
2021-04-05,153,2,213,-62,29024,25116,849,3059
2021-04-06,153,5,222,-74,29177,25338,854,2985
2021-04-07,140,3,122,15,29317,25460,857,3000
2021-04-08,301,7,498,-204,29618,25958,864,2796
2021-04-09,281,5,174,102,29899,26132,869,2898
2021-04-10,257,4,225,28,30156,26357,873,2926
2021-04-11,241,0,290,-49,30397,26647,873,2877
2021-04-12,82,4,184,-106,30479,26831,877,2771
2021-04-13,142,5,124,13,30621,26955,882,2784
2021-04-14,256,1,154,101,30877,27109,883,2885
2021-04-15,221,6,237,-22,31098,27346,889,2863
2021-04-16,153,6,215,-68,31251,27561,895,2795
2021-04-17,156,2,287,-133,31407,27848,897,2662
2021-04-18,186,3,142,41,31593,27990,900,2703
2021-04-19,31,2,112,-83,31624,28102,902,2620
2021-04-20,147,4,142,1,31771,28244,906,2621
2021-04-21,95,5,279,-189,31866,28523,911,2432
2021-04-22,206,5,210,-9,32072,28733,916,2423
2021-04-23,197,4,327,-134,32269,29060,920,2289
2021-04-24,173,5,54,114,32442,29114,925,2403
2021-04-25,56,2,62,-8,32498,29176,927,2395
2021-04-26,16,3,212,-199,32514,29388,930,2196
2021-04-27,98,7,130,-39,32612,29518,937,2157
2021-04-28,74,1,97,-24,32686,29615,938,2133
2021-04-29,65,3,59,3,32751,29674,941,2136
2021-04-30,207,0,166,41,32958,29840,941,2177
2021-05-01,88,4,99,-15,33046,29939,945,2162
2021-05-02,12,4,62,-54,33058,30001,949,2108
2021-05-03,34,1,45,-12,33092,30046,950,2096
2021-05-04,56,5,224,-173,33148,30270,955,1923
2021-05-05,108,3,211,-106,33256,30481,958,1817
2021-05-06,64,2,140,-78,33320,30621,960,1739
2021-05-07,144,1,223,-80,33464,30844,961,1659
2021-05-08,108,3,92,13,33572,30936,964,1672
2021-05-09,64,2,129,-67,33636,31065,966,1605
2021-05-10,22,3,63,-44,33658,31128,969,1561
2021-05-11,46,2,114,-70,33704,31242,971,1491
2021-05-12,85,1,458,-374,33789,31700,972,1117
2021-05-13,27,3,100,-76,33816,31800,975,1041
2021-05-14,19,1,39,-21,33835,31839,976,1020
2021-05-15,1,1,44,-44,33836,31883,977,976
2021-05-16,37,4,48,-15,33873,31931,981,961
2021-05-17,25,3,77,-55,33898,32008,984,906
2021-05-18,42,5,76,-39,33940,32084,989,867
2021-05-19,55,3,86,-34,33995,32170,992,833
