tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-28,2,0,0,2,2,0,0,2
2020-03-29,0,0,0,0,2,0,0,2
2020-03-30,0,0,0,0,2,0,0,2
2020-03-31,0,0,0,0,2,0,0,2
2020-04-01,0,0,0,0,2,0,0,2
2020-04-02,0,0,0,0,2,0,0,2
2020-04-03,6,0,0,6,8,0,0,8
2020-04-04,0,0,0,0,8,0,0,8
2020-04-05,0,0,0,0,8,0,0,8
2020-04-06,7,0,0,7,15,0,0,15
2020-04-07,0,0,0,0,15,0,0,15
2020-04-08,1,0,0,1,16,0,0,16
2020-04-09,0,0,0,0,16,0,0,16
2020-04-10,0,0,0,0,16,0,0,16
2020-04-11,0,1,0,-1,16,0,1,15
2020-04-12,0,0,0,0,16,0,1,15
2020-04-13,0,0,0,0,16,0,1,15
2020-04-14,0,0,0,0,16,0,1,15
2020-04-15,4,0,1,3,20,1,1,18
2020-04-16,8,0,1,7,28,2,1,25
2020-04-17,19,0,0,19,47,2,1,44
2020-04-18,3,0,0,3,50,2,1,47
2020-04-19,19,0,0,19,69,2,1,66
2020-04-20,4,0,0,4,73,2,1,70
2020-04-21,4,0,0,4,77,2,1,74
2020-04-22,0,0,0,0,77,2,1,74
2020-04-23,0,0,0,0,77,2,1,74
2020-04-24,0,0,0,0,77,2,1,74
2020-04-25,6,0,0,6,83,2,1,80
2020-04-26,6,0,0,6,89,2,1,86
2020-04-27,1,0,0,1,90,2,1,87
2020-04-28,2,0,0,2,92,2,1,89
2020-04-29,0,0,2,-2,92,4,1,87
2020-04-30,8,0,0,8,100,4,1,95
2020-05-01,15,0,1,14,115,5,1,109
2020-05-02,7,0,0,7,122,5,1,116
2020-05-03,0,0,0,0,122,5,1,116
2020-05-04,8,0,0,8,130,5,1,124
2020-05-05,1,0,1,0,131,6,1,124
2020-05-06,0,0,0,0,131,6,1,124
2020-05-07,0,0,0,0,131,6,1,124
2020-05-08,0,0,0,0,131,6,1,124
2020-05-09,0,0,0,0,131,6,1,124
2020-05-10,0,0,1,-1,131,7,1,123
2020-05-11,1,0,0,1,132,7,1,124
2020-05-12,0,0,5,-5,132,12,1,119
2020-05-13,6,0,6,0,138,18,1,119
2020-05-14,0,0,2,-2,138,20,1,117
2020-05-15,3,0,9,-6,141,29,1,111
2020-05-16,12,0,12,0,153,41,1,111
2020-05-17,2,0,0,2,155,41,1,113
2020-05-18,0,0,5,-5,155,46,1,108
2020-05-19,5,0,5,0,160,51,1,108
2020-05-20,0,0,0,0,160,51,1,108
2020-05-21,2,0,3,-1,162,54,1,107
2020-05-22,1,0,3,-2,163,57,1,105
2020-05-23,0,0,0,0,163,57,1,105
2020-05-24,1,0,2,-1,164,59,1,104
2020-05-25,0,0,7,-7,164,66,1,97
2020-05-26,0,1,3,-4,164,69,2,93
2020-05-27,1,0,0,1,165,69,2,94
2020-05-28,0,0,1,-1,165,70,2,93
2020-05-29,0,0,2,-2,165,72,2,91
2020-05-30,0,0,0,0,165,72,2,91
2020-05-31,0,0,0,0,165,72,2,91
2020-06-01,0,0,8,-8,165,80,2,83
2020-06-02,0,0,2,-2,165,82,2,81
2020-06-03,0,0,7,-7,165,89,2,74
2020-06-04,0,0,0,0,165,89,2,74
2020-06-05,2,0,5,-3,167,94,2,71
2020-06-06,1,0,14,-13,168,108,2,58
2020-06-07,1,0,11,-10,169,119,2,48
2020-06-08,0,0,10,-10,169,129,2,38
2020-06-09,1,0,1,0,170,130,2,38
2020-06-10,0,0,3,-3,170,133,2,35
2020-06-11,0,0,2,-2,170,135,2,33
2020-06-12,0,0,0,0,170,135,2,33
2020-06-13,0,0,2,-2,170,137,2,31
2020-06-14,0,0,0,0,170,137,2,31
2020-06-15,0,0,0,0,170,137,2,31
2020-06-16,1,0,8,-7,171,145,2,24
2020-06-17,0,0,0,0,171,145,2,24
2020-06-18,0,0,2,-2,171,147,2,22
2020-06-19,2,0,2,0,173,149,2,22
2020-06-20,2,0,0,2,175,149,2,24
2020-06-21,1,0,0,1,176,149,2,25
