tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-30,1,0,0,1,1,0,0,1
2020-03-31,1,1,0,0,2,0,1,1
2020-04-01,0,0,0,0,2,0,1,1
2020-04-02,0,0,0,0,2,0,1,1
2020-04-03,0,0,0,0,2,0,1,1
2020-04-04,0,0,0,0,2,0,1,1
2020-04-05,0,0,0,0,2,0,1,1
2020-04-06,0,0,0,0,2,0,1,1
2020-04-07,0,0,0,0,2,0,1,1
2020-04-08,1,0,0,1,3,0,1,2
2020-04-09,1,0,0,1,4,0,1,3
2020-04-10,0,0,0,0,4,0,1,3
2020-04-11,1,0,0,1,5,0,1,4
2020-04-12,0,0,0,0,5,0,1,4
2020-04-13,0,0,0,0,5,0,1,4
2020-04-14,0,0,0,0,5,0,1,4
2020-04-15,1,0,0,1,6,0,1,5
2020-04-16,1,0,0,1,7,0,1,6
2020-04-17,0,0,0,0,7,0,1,6
2020-04-18,0,0,1,-1,7,1,1,5
2020-04-19,1,0,0,1,8,1,1,6
2020-04-20,0,0,0,0,8,1,1,6
2020-04-21,1,0,2,-1,9,3,1,5
2020-04-22,0,0,0,0,9,3,1,5
2020-04-23,1,0,0,1,10,3,1,6
2020-04-24,0,0,0,0,10,3,1,6
2020-04-25,0,0,0,0,10,3,1,6
2020-04-26,1,0,0,1,11,3,1,7
2020-04-27,0,0,0,0,11,3,1,7
2020-04-28,0,0,0,0,11,3,1,7
2020-04-29,0,0,0,0,11,3,1,7
2020-04-30,0,0,2,-2,11,5,1,5
2020-05-01,9,0,0,9,20,5,1,14
2020-05-02,0,0,0,0,20,5,1,14
2020-05-03,1,0,0,1,21,5,1,15
2020-05-04,0,0,0,0,21,5,1,15
2020-05-05,8,0,0,8,29,5,1,23
2020-05-06,0,0,2,-2,29,7,1,21
2020-05-07,0,0,0,0,29,7,1,21
2020-05-08,0,0,1,-1,29,8,1,20
2020-05-09,0,0,0,0,29,8,1,20
2020-05-10,1,0,0,1,30,8,1,21
2020-05-11,0,0,0,0,30,8,1,21
2020-05-12,0,0,0,0,30,8,1,21
2020-05-13,0,0,0,0,30,8,1,21
2020-05-14,0,0,0,0,30,8,1,21
2020-05-15,0,0,17,-17,30,25,1,4
2020-05-16,0,0,0,0,30,25,1,4
2020-05-17,0,0,0,0,30,25,1,4
2020-05-18,0,0,0,0,30,25,1,4
2020-05-19,0,0,0,0,30,25,1,4
2020-05-20,6,0,1,5,36,26,1,9
2020-05-21,1,0,1,0,37,27,1,9
2020-05-22,0,0,0,0,37,27,1,9
2020-05-23,3,0,1,2,40,28,1,11
2020-05-24,0,0,0,0,40,28,1,11
2020-05-25,0,0,0,0,40,28,1,11
2020-05-26,0,0,0,0,40,28,1,11
2020-05-27,3,0,0,3,43,28,1,14
2020-05-28,0,0,0,0,43,28,1,14
2020-05-29,0,0,0,0,43,28,1,14
2020-05-30,3,0,0,3,46,28,1,17
2020-05-31,1,0,1,0,47,29,1,17
2020-06-01,0,0,0,0,47,29,1,17
2020-06-02,4,0,1,3,51,30,1,20
2020-06-03,12,0,3,9,63,33,1,29
2020-06-04,10,0,2,8,73,35,1,37
2020-06-05,9,0,0,9,82,35,1,46
2020-06-06,17,0,1,16,99,36,1,62
2020-06-07,4,0,1,3,103,37,1,65
2020-06-08,0,0,1,-1,103,38,1,64
2020-06-09,19,0,5,14,122,43,1,78
2020-06-10,2,0,1,1,124,44,1,79
2020-06-11,3,0,3,0,127,47,1,79
2020-06-12,6,0,8,-2,133,55,1,77
2020-06-13,4,0,9,-5,137,64,1,72
2020-06-14,8,1,0,7,145,64,2,79
2020-06-15,0,0,0,0,145,64,2,79
2020-06-16,1,0,5,-4,146,69,2,75
2020-06-17,2,0,27,-25,148,96,2,50
2020-06-18,0,0,6,-6,148,102,2,44
2020-06-19,0,0,6,-6,148,108,2,38
2020-06-20,1,0,0,1,149,108,2,39
2020-06-21,0,0,0,0,149,108,2,39
2020-06-22,0,0,10,-10,149,118,2,29
2020-06-23,0,0,0,0,149,118,2,29
2020-06-24,0,0,9,-9,149,127,2,20
2020-06-25,0,0,1,-1,149,128,2,19
2020-06-26,0,0,3,-3,149,131,2,16
2020-06-27,1,0,2,-1,150,133,2,15
2020-06-28,0,0,0,0,150,133,2,15
2020-06-29,3,0,1,2,153,134,2,17
2020-06-30,0,0,1,-1,153,135,2,16
2020-07-01,3,0,1,2,156,136,2,18
2020-07-02,0,0,1,-1,156,137,2,17
2020-07-03,2,0,0,2,158,137,2,19
2020-07-04,4,0,0,4,162,137,2,23
2020-07-05,2,0,0,2,164,137,2,25
2020-07-06,6,0,0,6,170,137,2,31
2020-07-07,2,0,3,-1,172,140,2,30
2020-07-08,0,0,0,0,172,140,2,30
2020-07-09,0,0,1,-1,172,141,2,29
2020-07-10,0,0,1,-1,172,142,2,28
2020-07-11,1,0,1,0,173,143,2,28
2020-07-12,0,0,0,0,173,143,2,28
2020-07-13,0,0,3,-3,173,146,2,25
2020-07-14,2,0,0,2,175,146,2,27
2020-07-15,1,0,5,-4,176,151,2,23
2020-07-16,0,0,16,-16,176,167,2,7
2020-07-17,0,0,0,0,176,167,2,7
2020-07-18,1,0,1,0,177,168,2,7
2020-07-19,0,0,0,0,177,168,2,7
2020-07-20,4,0,0,4,181,168,2,11
2020-07-21,0,0,0,0,181,168,2,11
2020-07-22,1,0,2,-1,182,170,2,10
2020-07-23,1,0,0,1,183,170,2,11
2020-07-24,3,0,0,3,186,170,2,14
2020-07-25,1,0,3,-2,187,173,2,12
2020-07-26,2,0,1,1,189,174,2,13
2020-07-27,3,0,0,3,192,174,2,16
2020-07-28,0,0,0,0,192,174,2,16
2020-07-29,2,0,0,2,194,174,2,18
2020-07-30,0,0,0,0,194,174,2,18
2020-07-31,0,0,0,0,194,174,2,18
2020-08-01,0,0,0,0,194,174,2,18
2020-08-02,0,0,0,0,194,174,2,18
2020-08-03,3,0,0,3,197,174,2,21
2020-08-04,0,0,2,-2,197,176,2,19
2020-08-05,1,0,7,-6,198,183,2,13
2020-08-06,0,0,0,0,198,183,2,13
