tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-10-18,1,1,0,0,1,0,1,0
2020-10-19,0,0,0,0,1,0,1,0
2020-10-20,0,0,0,0,1,0,1,0
2020-10-21,0,0,0,0,1,0,1,0
2020-10-22,0,0,0,0,1,0,1,0
2020-10-23,0,0,0,0,1,0,1,0
2020-10-24,0,0,0,0,1,0,1,0
2020-10-25,0,0,0,0,1,0,1,0
2020-10-26,0,0,0,0,1,0,1,0
2020-10-27,0,0,0,0,1,0,1,0
2020-10-28,0,0,0,0,1,0,1,0
2020-10-29,0,0,0,0,1,0,1,0
2020-10-30,0,0,0,0,1,0,1,0
2020-10-31,0,0,0,0,1,0,1,0
2020-11-01,0,0,0,0,1,0,1,0
2020-11-02,0,0,0,0,1,0,1,0
2020-11-03,0,0,0,0,1,0,1,0
2020-11-04,0,0,0,0,1,0,1,0
2020-11-05,0,0,0,0,1,0,1,0
2020-11-06,0,0,0,0,1,0,1,0
2020-11-07,0,0,0,0,1,0,1,0
2020-11-08,0,0,0,0,1,0,1,0
2020-11-09,0,0,0,0,1,0,1,0
2020-11-10,0,0,0,0,1,0,1,0
2020-11-11,0,0,0,0,1,0,1,0
2020-11-12,0,0,0,0,1,0,1,0
2020-11-13,74,0,0,74,75,0,1,74
2020-11-14,21,0,0,21,96,0,1,95
2020-11-15,0,0,0,0,96,0,1,95
2020-11-16,2,0,0,2,98,0,1,97
2020-11-17,1,0,0,1,99,0,1,98
2020-11-18,0,0,0,0,99,0,1,98
2020-11-19,0,0,0,0,99,0,1,98
2020-11-20,0,0,0,0,99,0,1,98
2020-11-21,0,0,0,0,99,0,1,98
2020-11-22,0,0,0,0,99,0,1,98
2020-11-23,0,0,5,-5,99,5,1,93
2020-11-24,0,0,1,-1,99,6,1,92
2020-11-25,0,1,1,-2,99,7,2,90
2020-11-26,0,0,4,-4,99,11,2,86
2020-11-27,0,0,0,0,99,11,2,86
2020-11-28,0,0,0,0,99,11,2,86
2020-11-29,0,0,0,0,99,11,2,86
2020-11-30,0,0,4,-4,99,15,2,82
2020-12-01,0,0,0,0,99,15,2,82
2020-12-02,0,0,0,0,99,15,2,82
2020-12-03,0,0,0,0,99,15,2,82
2020-12-04,0,0,0,0,99,15,2,82
2020-12-05,0,0,0,0,99,15,2,82
2020-12-06,0,0,64,-64,99,79,2,18
2020-12-07,0,0,16,-16,99,95,2,2
2020-12-08,0,1,0,-1,99,95,3,1
2020-12-09,0,0,0,0,99,95,3,1
2020-12-10,0,0,0,0,99,95,3,1
2020-12-11,0,0,0,0,99,95,3,1
2020-12-12,0,0,0,0,99,95,3,1
2020-12-13,0,0,0,0,99,95,3,1
2020-12-14,0,0,0,0,99,95,3,1
2020-12-15,0,0,0,0,99,95,3,1
2020-12-16,0,0,0,0,99,95,3,1
2020-12-17,0,0,0,0,99,95,3,1
2020-12-18,0,0,0,0,99,95,3,1
2020-12-19,0,0,0,0,99,95,3,1
