tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-11-13,48,0,0,48,48,0,0,48
2020-11-14,27,0,0,27,75,0,0,75
2020-11-15,14,0,0,14,89,0,0,89
2020-11-16,0,0,0,0,89,0,0,89
2020-11-17,4,0,0,4,93,0,0,93
2020-11-18,0,1,0,-1,93,0,1,92
2020-11-19,0,0,0,0,93,0,1,92
2020-11-20,0,1,0,-1,93,0,2,91
2020-11-21,0,0,0,0,93,0,2,91
2020-11-22,0,0,0,0,93,0,2,91
2020-11-23,0,0,0,0,93,0,2,91
2020-11-24,0,0,0,0,93,0,2,91
2020-11-25,0,0,0,0,93,0,2,91
2020-11-26,0,0,0,0,93,0,2,91
2020-11-27,0,1,0,-1,93,0,3,90
2020-11-28,0,0,0,0,93,0,3,90
2020-11-29,0,0,0,0,93,0,3,90
2020-11-30,0,0,1,-1,93,1,3,89
2020-12-01,0,0,0,0,93,1,3,89
2020-12-02,0,0,0,0,93,1,3,89
2020-12-03,0,0,0,0,93,1,3,89
2020-12-04,0,0,49,-49,93,50,3,40
2020-12-05,0,0,0,0,93,50,3,40
2020-12-06,0,0,8,-8,93,58,3,32
2020-12-07,0,1,0,-1,93,58,4,31
2020-12-08,0,0,2,-2,93,60,4,29
2020-12-09,0,0,1,-1,93,61,4,28
2020-12-10,0,0,3,-3,93,64,4,25
2020-12-11,0,0,0,0,93,64,4,25
2020-12-12,0,0,0,0,93,64,4,25
2020-12-13,0,0,0,0,93,64,4,25
2020-12-14,0,0,0,0,93,64,4,25
2020-12-15,0,0,0,0,93,64,4,25
2020-12-16,0,0,0,0,93,64,4,25
2020-12-17,0,0,0,0,93,64,4,25
2020-12-18,0,0,0,0,93,64,4,25
2020-12-19,0,0,0,0,93,64,4,25
2020-12-20,0,0,0,0,93,64,4,25
2020-12-21,0,0,0,0,93,64,4,25
2020-12-22,0,0,0,0,93,64,4,25
2020-12-23,0,0,0,0,93,64,4,25
2020-12-24,0,0,0,0,93,64,4,25
2020-12-25,0,0,0,0,93,64,4,25
2020-12-26,0,0,0,0,93,64,4,25
2020-12-27,0,0,0,0,93,64,4,25
2020-12-28,0,0,0,0,93,64,4,25
2020-12-29,0,0,0,0,93,64,4,25
2020-12-30,0,0,0,0,93,64,4,25
2020-12-31,0,0,0,0,93,64,4,25
2021-01-01,0,0,0,0,93,64,4,25
2021-01-02,0,0,0,0,93,64,4,25
2021-01-03,0,0,0,0,93,64,4,25
2021-01-04,0,0,0,0,93,64,4,25
2021-01-05,0,0,0,0,93,64,4,25
2021-01-06,0,0,0,0,93,64,4,25
2021-01-07,0,0,0,0,93,64,4,25
