tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-11-13,18,0,0,18,18,0,0,18
2020-11-14,7,0,0,7,25,0,0,25
2020-11-15,0,0,0,0,25,0,0,25
2020-11-16,11,0,1,10,36,1,0,35
2020-11-17,25,0,0,25,61,1,0,60
2020-11-18,0,0,0,0,61,1,0,60
2020-11-19,0,0,0,0,61,1,0,60
2020-11-20,0,0,0,0,61,1,0,60
2020-11-21,0,0,0,0,61,1,0,60
2020-11-22,0,0,2,-2,61,3,0,58
2020-11-23,0,0,4,-4,61,7,0,54
2020-11-24,0,0,0,0,61,7,0,54
2020-11-25,0,0,3,-3,61,10,0,51
2020-11-26,0,0,1,-1,61,11,0,50
2020-11-27,0,0,0,0,61,11,0,50
2020-11-28,0,0,2,-2,61,13,0,48
2020-11-29,0,0,0,0,61,13,0,48
2020-11-30,0,0,2,-2,61,15,0,46
2020-12-01,0,0,0,0,61,15,0,46
2020-12-02,0,1,0,-1,61,15,1,45
2020-12-03,0,0,2,-2,61,17,1,43
2020-12-04,0,0,1,-1,61,18,1,42
2020-12-05,0,0,0,0,61,18,1,42
2020-12-06,0,0,0,0,61,18,1,42
2020-12-07,0,0,0,0,61,18,1,42
2020-12-08,0,0,5,-5,61,23,1,37
2020-12-09,0,0,0,0,61,23,1,37
2020-12-10,0,0,1,-1,61,24,1,36
2020-12-11,0,0,1,-1,61,25,1,35
2020-12-12,0,0,0,0,61,25,1,35
2020-12-13,0,0,0,0,61,25,1,35
2020-12-14,0,0,0,0,61,25,1,35
2020-12-15,0,0,0,0,61,25,1,35
2020-12-16,0,0,0,0,61,25,1,35
2020-12-17,0,0,1,-1,61,26,1,34
2020-12-18,0,0,5,-5,61,31,1,29
2020-12-19,0,0,0,0,61,31,1,29
2020-12-20,0,0,8,-8,61,39,1,21
2020-12-21,0,0,2,-2,61,41,1,19
2020-12-22,0,0,2,-2,61,43,1,17
2020-12-23,0,0,0,0,61,43,1,17
2020-12-24,0,0,0,0,61,43,1,17
2020-12-25,0,0,0,0,61,43,1,17
2020-12-26,0,0,0,0,61,43,1,17
2020-12-27,0,0,0,0,61,43,1,17
2020-12-28,0,0,0,0,61,43,1,17
2020-12-29,0,0,0,0,61,43,1,17
2020-12-30,0,0,0,0,61,43,1,17
2020-12-31,0,0,0,0,61,43,1,17
2021-01-01,0,0,0,0,61,43,1,17
2021-01-02,0,0,0,0,61,43,1,17
2021-01-03,0,0,0,0,61,43,1,17
2021-01-04,0,0,0,0,61,43,1,17
2021-01-05,0,0,0,0,61,43,1,17
2021-01-06,0,0,2,-2,61,45,1,15
2021-01-07,0,0,0,0,61,45,1,15
2021-01-08,0,0,1,-1,61,46,1,14
2021-01-09,0,0,0,0,61,46,1,14
2021-01-10,0,0,0,0,61,46,1,14
2021-01-11,0,0,3,-3,61,49,1,11
2021-01-12,0,0,0,0,61,49,1,11
2021-01-13,0,0,1,-1,61,50,1,10
2021-01-14,0,0,0,0,61,50,1,10
2021-01-15,0,0,0,0,61,50,1,10
2021-01-16,0,0,0,0,61,50,1,10
2021-01-17,0,0,0,0,61,50,1,10
2021-01-18,0,0,2,-2,61,52,1,8
2021-01-19,0,0,0,0,61,52,1,8
2021-01-20,0,0,0,0,61,52,1,8
2021-01-21,0,0,2,-2,61,54,1,6
2021-01-22,0,0,6,-6,61,60,1,0
2021-01-23,0,0,0,0,61,60,1,0
2021-01-24,0,0,0,0,61,60,1,0
2021-01-25,0,0,0,0,61,60,1,0
2021-01-26,0,0,0,0,61,60,1,0
2021-01-27,0,0,0,0,61,60,1,0
2021-01-28,0,0,0,0,61,60,1,0
2021-01-29,1,0,0,1,62,60,1,1
2021-01-30,0,0,0,0,62,60,1,1
2021-01-31,0,0,0,0,62,60,1,1
2021-02-01,0,0,0,0,62,60,1,1
2021-02-02,0,0,0,0,62,60,1,1
2021-02-03,0,0,0,0,62,60,1,1
2021-02-04,0,0,0,0,62,60,1,1
2021-02-05,0,0,0,0,62,60,1,1
2021-02-06,0,0,0,0,62,60,1,1
2021-02-07,0,0,0,0,62,60,1,1
2021-02-08,0,0,0,0,62,60,1,1
2021-02-09,0,0,0,0,62,60,1,1
2021-02-10,0,0,0,0,62,60,1,1
2021-02-11,0,0,0,0,62,60,1,1
2021-02-12,0,0,0,0,62,60,1,1
2021-02-13,0,0,0,0,62,60,1,1
2021-02-14,0,0,0,0,62,60,1,1
2021-02-15,0,0,0,0,62,60,1,1
2021-02-16,0,1,0,-1,62,60,2,0
2021-02-17,0,0,0,0,62,60,2,0
2021-02-18,0,0,0,0,62,60,2,0
2021-02-19,0,0,0,0,62,60,2,0
2021-02-20,0,0,0,0,62,60,2,0
2021-02-21,0,0,0,0,62,60,2,0
2021-02-22,0,0,0,0,62,60,2,0
2021-02-23,0,0,0,0,62,60,2,0
2021-02-24,0,0,0,0,62,60,2,0
2021-02-25,0,0,0,0,62,60,2,0
2021-02-26,0,0,0,0,62,60,2,0
2021-02-27,0,0,0,0,62,60,2,0
2021-02-28,0,0,0,0,62,60,2,0
2021-03-01,0,0,0,0,62,60,2,0
2021-03-02,0,0,0,0,62,60,2,0
2021-03-03,0,0,0,0,62,60,2,0
2021-03-04,0,0,0,0,62,60,2,0
2021-03-05,0,0,0,0,62,60,2,0
2021-03-06,1,1,0,0,63,60,3,0
2021-03-07,0,0,0,0,63,60,3,0
2021-03-08,0,0,0,0,63,60,3,0
2021-03-09,0,0,0,0,63,60,3,0
2021-03-10,0,0,0,0,63,60,3,0
2021-03-11,0,0,0,0,63,60,3,0
2021-03-12,0,0,0,0,63,60,3,0
2021-03-13,0,0,0,0,63,60,3,0
2021-03-14,0,0,0,0,63,60,3,0
2021-03-15,0,0,0,0,63,60,3,0
2021-03-16,0,0,0,0,63,60,3,0
2021-03-17,0,0,0,0,63,60,3,0
2021-03-18,0,0,0,0,63,60,3,0
2021-03-19,0,0,0,0,63,60,3,0
2021-03-20,0,0,0,0,63,60,3,0
2021-03-21,0,0,0,0,63,60,3,0
2021-03-22,0,0,0,0,63,60,3,0
2021-03-23,0,0,0,0,63,60,3,0
2021-03-24,0,0,0,0,63,60,3,0
2021-03-25,0,0,0,0,63,60,3,0
2021-03-26,0,0,0,0,63,60,3,0
2021-03-27,0,0,0,0,63,60,3,0
2021-03-28,0,0,0,0,63,60,3,0
2021-03-29,0,0,0,0,63,60,3,0
2021-03-30,0,0,0,0,63,60,3,0
2021-03-31,0,0,0,0,63,60,3,0
2021-04-01,0,0,0,0,63,60,3,0
2021-04-02,0,0,0,0,63,60,3,0
2021-04-03,0,0,0,0,63,60,3,0
2021-04-04,0,0,0,0,63,60,3,0
2021-04-05,0,0,0,0,63,60,3,0
2021-04-06,0,0,0,0,63,60,3,0
2021-04-07,0,0,0,0,63,60,3,0
2021-04-08,0,0,0,0,63,60,3,0
2021-04-09,0,0,0,0,63,60,3,0
2021-04-10,0,0,0,0,63,60,3,0
2021-04-11,0,0,0,0,63,60,3,0
2021-04-12,0,0,0,0,63,60,3,0
2021-04-13,0,0,0,0,63,60,3,0
2021-04-14,0,0,0,0,63,60,3,0
2021-04-15,0,0,0,0,63,60,3,0
2021-04-16,0,0,0,0,63,60,3,0
2021-04-17,0,0,0,0,63,60,3,0
2021-04-18,0,0,0,0,63,60,3,0
2021-04-19,0,0,0,0,63,60,3,0
2021-04-20,0,0,0,0,63,60,3,0
2021-04-21,0,0,0,0,63,60,3,0
2021-04-22,0,0,0,0,63,60,3,0
2021-04-23,0,0,0,0,63,60,3,0
2021-04-24,0,0,0,0,63,60,3,0
2021-04-25,0,0,0,0,63,60,3,0
2021-04-26,0,0,0,0,63,60,3,0
2021-04-27,0,0,0,0,63,60,3,0
2021-04-28,0,0,0,0,63,60,3,0
2021-04-29,0,0,0,0,63,60,3,0
2021-04-30,0,0,0,0,63,60,3,0
2021-05-01,0,0,0,0,63,60,3,0
2021-05-02,0,0,0,0,63,60,3,0
2021-05-03,0,0,0,0,63,60,3,0
2021-05-04,0,0,0,0,63,60,3,0
2021-05-05,0,0,0,0,63,60,3,0
2021-05-06,0,0,0,0,63,60,3,0
2021-05-07,0,0,0,0,63,60,3,0
2021-05-08,0,0,0,0,63,60,3,0
2021-05-09,0,0,0,0,63,60,3,0
2021-05-10,0,0,0,0,63,60,3,0
2021-05-11,1,0,0,1,64,60,3,1
2021-05-12,0,0,0,0,64,60,3,1
2021-05-13,0,0,0,0,64,60,3,1
2021-05-14,0,0,0,0,64,60,3,1
2021-05-15,0,0,0,0,64,60,3,1
2021-05-16,0,0,0,0,64,60,3,1
2021-05-17,0,0,0,0,64,60,3,1
2021-05-18,0,0,0,0,64,60,3,1
2021-05-19,0,0,0,0,64,60,3,1
2021-05-20,0,0,0,0,64,60,3,1
2021-05-21,0,0,0,0,64,60,3,1
2021-05-22,0,0,0,0,64,60,3,1
2021-05-23,0,0,0,0,64,60,3,1
2021-05-24,0,0,0,0,64,60,3,1
2021-05-25,0,0,0,0,64,60,3,1
2021-05-26,0,0,0,0,64,60,3,1
2021-05-27,0,0,0,0,64,60,3,1
2021-05-28,0,1,0,-1,64,60,4,0
2021-05-29,0,0,0,0,64,60,4,0
2021-05-30,0,0,0,0,64,60,4,0
2021-05-31,0,0,0,0,64,60,4,0
2021-06-01,0,0,0,0,64,60,4,0
2021-06-02,0,0,0,0,64,60,4,0
2021-06-03,0,0,0,0,64,60,4,0
2021-06-04,0,0,0,0,64,60,4,0
2021-06-05,0,0,0,0,64,60,4,0
2021-06-06,0,0,0,0,64,60,4,0
2021-06-07,0,0,0,0,64,60,4,0
2021-06-08,0,0,0,0,64,60,4,0
2021-06-09,0,0,0,0,64,60,4,0
2021-06-10,0,0,0,0,64,60,4,0
2021-06-11,0,0,0,0,64,60,4,0
2021-06-12,0,0,0,0,64,60,4,0
2021-06-13,0,0,0,0,64,60,4,0
2021-06-14,0,0,0,0,64,60,4,0
2021-06-15,0,0,0,0,64,60,4,0
2021-06-16,0,0,0,0,64,60,4,0
2021-06-17,0,0,0,0,64,60,4,0
2021-06-18,0,0,0,0,64,60,4,0
2021-06-19,0,0,0,0,64,60,4,0
2021-06-20,0,0,0,0,64,60,4,0
2021-06-21,0,0,0,0,64,60,4,0
2021-06-22,0,0,0,0,64,60,4,0
2021-06-23,0,0,0,0,64,60,4,0
2021-06-24,0,0,0,0,64,60,4,0
2021-06-25,0,0,0,0,64,60,4,0
2021-06-26,0,0,0,0,64,60,4,0
2021-06-27,0,0,0,0,64,60,4,0
2021-06-28,0,0,0,0,64,60,4,0
2021-06-29,0,0,0,0,64,60,4,0
2021-06-30,0,0,0,0,64,60,4,0
2021-07-01,0,0,0,0,64,60,4,0
2021-07-02,0,0,0,0,64,60,4,0
2021-07-03,1,0,0,1,65,60,4,1
2021-07-04,340,1,0,339,405,60,5,340
2021-07-05,461,3,23,435,866,83,8,775
2021-07-06,632,0,172,460,1498,255,8,1235
2021-07-07,731,3,1,727,2229,256,11,1962
2021-07-08,914,5,0,909,3143,256,16,2871
2021-07-09,220,5,16,199,3363,272,21,3070
2021-07-10,353,0,10,343,3716,282,21,3413
2021-07-11,474,2,29,443,4190,311,23,3856
2021-07-12,102,0,16,86,4292,327,23,3942
2021-07-13,43,0,9,34,4335,336,23,3976
