tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-27,2,0,0,2,2,0,0,2
2020-03-28,0,0,0,0,2,0,0,2
2020-03-29,0,0,0,0,2,0,0,2
2020-03-30,0,0,0,0,2,0,0,2
2020-03-31,0,0,0,0,2,0,0,2
2020-04-01,0,0,0,0,2,0,0,2
2020-04-02,0,0,0,0,2,0,0,2
2020-04-03,0,0,0,0,2,0,0,2
2020-04-04,0,0,0,0,2,0,0,2
2020-04-05,0,0,0,0,2,0,0,2
2020-04-06,0,0,0,0,2,0,0,2
2020-04-07,0,0,0,0,2,0,0,2
2020-04-08,0,0,0,0,2,0,0,2
2020-04-09,0,0,0,0,2,0,0,2
2020-04-10,0,0,0,0,2,0,0,2
2020-04-11,0,0,0,0,2,0,0,2
2020-04-12,0,0,0,0,2,0,0,2
2020-04-13,0,0,0,0,2,0,0,2
2020-04-14,0,0,0,0,2,0,0,2
2020-04-15,0,0,0,0,2,0,0,2
2020-04-16,3,0,0,3,5,0,0,5
2020-04-17,0,0,0,0,5,0,0,5
2020-04-18,0,0,0,0,5,0,0,5
2020-04-19,2,0,0,2,7,0,0,7
2020-04-20,0,0,0,0,7,0,0,7
2020-04-21,0,0,0,0,7,0,0,7
2020-04-22,1,0,0,1,8,0,0,8
2020-04-23,5,0,0,5,13,0,0,13
2020-04-24,2,0,0,2,15,0,0,15
2020-04-25,1,0,0,1,16,0,0,16
2020-04-26,0,0,0,0,16,0,0,16
2020-04-27,0,0,0,0,16,0,0,16
2020-04-28,21,0,0,21,37,0,0,37
2020-04-29,0,0,0,0,37,0,0,37
2020-04-30,0,0,0,0,37,0,0,37
2020-05-01,5,0,0,5,42,0,0,42
2020-05-02,1,0,0,1,43,0,0,43
2020-05-03,0,0,0,0,43,0,0,43
2020-05-04,0,0,0,0,43,0,0,43
2020-05-05,6,0,0,6,49,0,0,49
2020-05-06,4,0,0,4,53,0,0,53
2020-05-07,0,0,0,0,53,0,0,53
2020-05-08,0,0,0,0,53,0,0,53
2020-05-09,0,0,0,0,53,0,0,53
2020-05-10,17,0,2,15,70,2,0,68
2020-05-11,0,0,0,0,70,2,0,68
2020-05-12,0,0,0,0,70,2,0,68
2020-05-13,0,0,0,0,70,2,0,68
2020-05-14,18,0,0,18,88,2,0,86
2020-05-15,0,0,0,0,88,2,0,86
2020-05-16,14,0,3,11,102,5,0,97
2020-05-17,3,0,0,3,105,5,0,100
2020-05-18,0,0,0,0,105,5,0,100
2020-05-19,0,0,0,0,105,5,0,100
2020-05-20,1,0,1,0,106,6,0,100
2020-05-21,3,0,1,2,109,7,0,102
2020-05-22,10,0,4,6,119,11,0,108
2020-05-23,10,1,8,1,129,19,1,109
2020-05-24,1,0,0,1,130,19,1,110
2020-05-25,0,0,3,-3,130,22,1,107
2020-05-26,2,0,13,-11,132,35,1,96
2020-05-27,0,0,1,-1,132,36,1,95
2020-05-28,20,0,2,18,152,38,1,113
2020-05-29,6,0,4,2,158,42,1,115
2020-05-30,4,0,7,-3,162,49,1,112
2020-05-31,6,0,6,0,168,55,1,112
2020-06-01,0,0,0,0,168,55,1,112
2020-06-02,4,0,0,4,172,55,1,116
2020-06-03,0,0,0,0,172,55,1,116
2020-06-04,1,0,2,-1,173,57,1,115
2020-06-05,2,0,17,-15,175,74,1,100
2020-06-06,3,0,0,3,178,74,1,103
2020-06-07,1,0,0,1,179,74,1,104
2020-06-08,0,0,0,0,179,74,1,104
2020-06-09,4,0,1,3,183,75,1,107
2020-06-10,8,0,9,-1,191,84,1,106
2020-06-11,4,0,1,3,195,85,1,109
2020-06-12,5,0,1,4,200,86,1,113
2020-06-13,5,1,0,4,205,86,2,117
2020-06-14,3,0,1,2,208,87,2,119
2020-06-15,1,0,0,1,209,87,2,120
2020-06-16,3,0,7,-4,212,94,2,116
2020-06-17,2,0,2,0,214,96,2,116
2020-06-18,5,0,22,-17,219,118,2,99
2020-06-19,3,0,8,-5,222,126,2,94
2020-06-20,0,0,2,-2,222,128,2,92
2020-06-21,2,0,0,2,224,128,2,94
2020-06-22,0,0,0,0,224,128,2,94
2020-06-23,0,0,1,-1,224,129,2,93
2020-06-24,1,0,16,-15,225,145,2,78
2020-06-25,8,0,4,4,233,149,2,82
2020-06-26,0,0,1,-1,233,150,2,81
2020-06-27,1,0,2,-1,234,152,2,80
2020-06-28,2,0,0,2,236,152,2,82
2020-06-29,1,1,1,-1,237,153,3,81
2020-06-30,2,0,0,2,239,153,3,83
2020-07-01,3,0,12,-9,242,165,3,74
2020-07-02,2,0,5,-3,244,170,3,71
2020-07-03,5,0,0,5,249,170,3,76
2020-07-04,4,0,1,3,253,171,3,79
2020-07-05,2,0,6,-4,255,177,3,75
2020-07-06,10,0,7,3,265,184,3,78
2020-07-07,1,0,1,0,266,185,3,78
2020-07-08,0,0,1,-1,266,186,3,77
2020-07-09,6,0,0,6,272,186,3,83
2020-07-10,4,0,1,3,276,187,3,86
2020-07-11,6,0,1,5,282,188,3,91
2020-07-12,4,0,5,-1,286,193,3,90
2020-07-13,0,0,3,-3,286,196,3,87
2020-07-14,6,0,2,4,292,198,3,91
2020-07-15,0,0,4,-4,292,202,3,87
2020-07-16,4,0,0,4,296,202,3,91
2020-07-17,5,0,1,4,301,203,3,95
2020-07-18,38,1,2,35,339,205,4,130
2020-07-19,2,0,4,-2,341,209,4,128
2020-07-20,27,0,3,24,368,212,4,152
2020-07-21,3,0,1,2,371,213,4,154
2020-07-22,5,0,3,2,376,216,4,156
2020-07-23,10,0,14,-4,386,230,4,152
2020-07-24,1,0,2,-1,387,232,4,151
2020-07-25,1,0,0,1,388,232,4,152
2020-07-26,4,0,0,4,392,232,4,156
2020-07-27,4,0,2,2,396,234,4,158
2020-07-28,1,0,29,-28,397,263,4,130
2020-07-29,16,0,2,14,413,265,4,144
2020-07-30,17,1,27,-11,430,292,5,133
2020-07-31,3,0,0,3,433,292,5,136
2020-08-01,18,0,0,18,451,292,5,154
2020-08-02,9,0,3,6,460,295,5,160
2020-08-03,0,0,0,0,460,295,5,160
2020-08-04,11,0,9,2,471,304,5,162
2020-08-05,10,0,2,8,481,306,5,170
2020-08-06,11,0,39,-28,492,345,5,142
2020-08-07,44,0,5,39,536,350,5,181
2020-08-08,15,0,12,3,551,362,5,184
2020-08-09,1,0,0,1,552,362,5,185
2020-08-10,5,0,23,-18,557,385,5,167
2020-08-11,1,0,6,-5,558,391,5,162
2020-08-12,13,1,8,4,571,399,6,166
2020-08-13,24,0,19,5,595,418,6,171
2020-08-14,0,0,19,-19,595,437,6,152
2020-08-15,6,0,2,4,601,439,6,156
2020-08-16,4,0,11,-7,605,450,6,149
2020-08-17,2,0,1,1,607,451,6,150
2020-08-18,13,0,34,-21,620,485,6,129
