tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-19,2,0,0,2,2,0,0,2
2020-03-20,0,0,0,0,2,0,0,2
2020-03-21,0,0,0,0,2,0,0,2
2020-03-22,0,0,0,0,2,0,0,2
2020-03-23,0,1,0,-1,2,0,1,1
2020-03-24,2,0,0,2,4,0,1,3
2020-03-25,9,0,0,9,13,0,1,12
2020-03-26,14,0,0,14,27,0,1,26
2020-03-27,2,0,0,2,29,0,1,28
2020-03-28,3,0,0,3,32,0,1,31
2020-03-29,15,0,0,15,47,0,1,46
2020-03-30,4,2,0,2,51,0,3,48
2020-03-31,0,1,0,-1,51,0,4,47
2020-04-01,14,0,0,14,65,0,4,61
2020-04-02,0,2,4,-6,65,4,6,55
2020-04-03,15,0,0,15,80,4,6,70
2020-04-04,0,2,5,-7,80,9,8,63
2020-04-05,2,2,11,-11,82,20,10,52
2020-04-06,29,0,0,29,111,20,10,81
2020-04-07,10,0,2,8,121,22,10,89
2020-04-08,5,1,2,2,126,24,11,91
2020-04-09,6,0,0,6,132,24,11,97
2020-04-10,33,1,0,32,165,24,12,129
2020-04-11,11,6,0,5,176,24,18,134
2020-04-12,45,0,0,45,221,24,18,179
2020-04-13,0,1,6,-7,221,30,19,172
2020-04-14,8,3,4,1,229,34,22,173
2020-04-15,10,1,9,0,239,43,23,173
2020-04-16,27,2,0,25,266,43,25,198
2020-04-17,65,2,2,61,331,45,27,259
2020-04-18,10,2,5,3,341,50,29,262
2020-04-19,27,1,10,16,368,60,30,278
2020-04-20,0,1,9,-10,368,69,31,268
2020-04-21,6,2,0,4,374,69,33,272
2020-04-22,13,0,5,8,387,74,33,280
2020-04-23,10,0,5,5,397,79,33,285
2020-04-24,22,0,1,21,419,80,33,306
2020-04-25,13,1,1,11,432,81,34,317
2020-04-26,8,1,18,-11,440,99,35,306
2020-04-27,0,0,7,-7,440,106,35,299
2020-04-28,13,0,2,11,453,108,35,310
2020-04-29,12,0,10,2,465,118,35,312
2020-04-30,26,0,4,22,491,122,35,334
2020-05-01,56,0,13,43,547,135,35,377
2020-05-02,30,3,10,17,577,145,38,394
2020-05-03,24,0,6,18,601,151,38,412
2020-05-04,6,0,48,-42,607,199,38,370
2020-05-05,33,2,27,4,640,226,40,374
2020-05-06,25,3,7,15,665,233,43,389
2020-05-07,19,1,3,15,684,236,44,404
2020-05-08,24,2,13,9,708,249,46,413
2020-05-09,2,0,9,-7,710,258,46,406
2020-05-10,12,2,6,4,722,264,48,410
2020-05-11,0,1,11,-12,722,275,49,398
2020-05-12,26,0,7,19,748,282,49,417
2020-05-13,54,0,5,49,802,287,49,466
2020-05-14,36,0,5,31,838,292,49,497
2020-05-15,33,0,0,33,871,292,49,530
2020-05-16,46,1,19,26,917,311,50,556
2020-05-17,34,0,7,27,951,318,50,583
2020-05-18,66,2,18,46,1017,336,52,629
2020-05-19,47,0,22,25,1064,358,52,654
2020-05-20,36,1,9,26,1100,367,53,680
2020-05-21,33,3,31,-1,1133,398,56,679
2020-05-22,71,2,19,50,1204,417,58,729
2020-05-23,57,0,6,51,1261,423,58,780
2020-05-24,32,2,33,-3,1293,456,60,777
2020-05-25,22,3,6,13,1315,462,63,790
2020-05-26,34,2,37,-5,1349,499,65,785
2020-05-27,28,0,19,9,1377,518,65,794
2020-05-28,45,0,2,43,1422,520,65,837
2020-05-29,41,3,12,26,1463,532,68,863
2020-05-30,40,1,31,8,1503,563,69,871
2020-05-31,32,2,32,-2,1535,595,71,869
2020-06-01,45,1,30,14,1580,625,72,883
2020-06-02,42,0,0,42,1622,625,72,925
2020-06-03,37,0,11,26,1659,636,72,951
2020-06-04,54,4,3,47,1713,639,76,998
2020-06-05,53,14,34,5,1766,673,90,1003
2020-06-06,65,0,0,65,1831,673,90,1068
2020-06-07,64,0,0,64,1895,673,90,1132
2020-06-08,109,0,0,109,2004,673,90,1241
2020-06-09,175,3,30,142,2179,703,93,1383
2020-06-10,182,1,53,128,2361,756,94,1511
2020-06-11,130,0,0,130,2491,756,94,1641
2020-06-12,61,12,73,-24,2552,829,106,1617
2020-06-13,126,0,36,90,2678,865,106,1707
2020-06-14,137,3,36,98,2815,901,109,1805
2020-06-15,103,8,142,-47,2918,1043,117,1758
2020-06-16,167,0,43,124,3085,1086,117,1882
2020-06-17,89,0,16,73,3174,1102,117,1955
2020-06-18,165,0,23,142,3339,1125,117,2097
2020-06-19,207,0,44,163,3546,1169,117,2260
2020-06-20,111,15,75,21,3657,1244,132,2281
2020-06-21,110,0,38,72,3767,1282,132,2353
2020-06-22,111,7,37,67,3878,1319,139,2420
2020-06-23,132,1,42,89,4010,1361,140,2509
2020-06-24,136,6,40,90,4146,1401,146,2599
2020-06-25,119,1,55,63,4265,1456,147,2662
2020-06-26,166,2,154,10,4431,1610,149,2672
2020-06-27,147,3,40,104,4578,1650,152,2776
2020-06-28,193,3,62,128,4771,1712,155,2904
2020-06-29,194,1,50,143,4965,1762,156,3047
2020-06-30,89,4,69,16,5054,1831,160,3063
2020-07-01,129,0,52,77,5183,1883,160,3140
2020-07-02,165,0,50,115,5348,1933,160,3255
2020-07-03,177,6,40,131,5525,1973,166,3386
2020-07-04,190,0,39,151,5715,2012,166,3537
2020-07-05,135,23,93,19,5850,2105,189,3556
2020-07-06,85,1,82,2,5935,2187,190,3558
2020-07-07,213,2,45,166,6148,2232,192,3724
2020-07-08,167,3,15,149,6315,2247,195,3873
2020-07-09,127,6,184,-63,6442,2431,201,3810
2020-07-10,130,0,33,97,6572,2464,201,3907
2020-07-11,181,7,174,0,6753,2638,208,3907
2020-07-12,168,7,107,54,6921,2745,215,3961
2020-07-13,125,3,254,-132,7046,2999,218,3829
2020-07-14,197,13,140,44,7243,3139,231,3873
2020-07-15,151,12,115,24,7394,3254,243,3897
2020-07-16,179,15,212,-48,7573,3466,258,3849
2020-07-17,99,3,115,-19,7672,3581,261,3830
2020-07-18,167,2,78,87,7839,3659,263,3917
2020-07-19,156,8,517,-369,7995,4176,271,3548
2020-07-20,126,2,277,-153,8121,4453,273,3395
