tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-11-13,189,0,0,189,189,0,0,189
2020-11-14,244,0,0,244,433,0,0,433
2020-11-15,213,0,0,213,646,0,0,646
2020-11-16,38,1,1,36,684,1,1,682
2020-11-17,105,9,1,95,789,2,10,777
2020-11-18,0,1,0,-1,789,2,11,776
2020-11-19,0,0,23,-23,789,25,11,753
2020-11-20,0,0,68,-68,789,93,11,685
2020-11-21,0,1,59,-60,789,152,12,625
2020-11-22,0,1,197,-198,789,349,13,427
2020-11-23,0,1,113,-114,789,462,14,313
2020-11-24,0,0,133,-133,789,595,14,180
2020-11-25,0,0,36,-36,789,631,14,144
2020-11-26,0,0,11,-11,789,642,14,133
2020-11-27,0,0,5,-5,789,647,14,128
2020-11-28,0,1,1,-2,789,648,15,126
2020-11-29,0,1,7,-8,789,655,16,118
2020-11-30,0,1,12,-13,789,667,17,105
2020-12-01,0,0,18,-18,789,685,17,87
2020-12-02,0,0,8,-8,789,693,17,79
2020-12-03,0,1,0,-1,789,693,18,78
2020-12-04,0,1,7,-8,789,700,19,70
2020-12-05,0,0,4,-4,789,704,19,66
2020-12-06,0,0,1,-1,789,705,19,65
2020-12-07,0,0,0,0,789,705,19,65
2020-12-08,0,1,4,-5,789,709,20,60
2020-12-09,0,1,0,-1,789,709,21,59
2020-12-10,0,0,0,0,789,709,21,59
2020-12-11,0,0,10,-10,789,719,21,49
2020-12-12,0,0,0,0,789,719,21,49
2020-12-13,0,0,16,-16,789,735,21,33
2020-12-14,0,0,0,0,789,735,21,33
2020-12-15,0,0,0,0,789,735,21,33
2020-12-16,0,0,1,-1,789,736,21,32
2020-12-17,0,0,0,0,789,736,21,32
2020-12-18,0,0,0,0,789,736,21,32
2020-12-19,0,0,1,-1,789,737,21,31
2020-12-20,0,0,0,0,789,737,21,31
2020-12-21,0,0,0,0,789,737,21,31
2020-12-22,0,0,10,-10,789,747,21,21
2020-12-23,0,0,0,0,789,747,21,21
2020-12-24,0,0,2,-2,789,749,21,19
2020-12-25,0,2,0,-2,789,749,23,17
2020-12-26,0,3,0,-3,789,749,26,14
2020-12-27,0,3,0,-3,789,749,29,11
2020-12-28,0,0,0,0,789,749,29,11
2020-12-29,0,0,0,0,789,749,29,11
2020-12-30,0,0,0,0,789,749,29,11
2020-12-31,0,0,0,0,789,749,29,11
2021-01-01,0,0,0,0,789,749,29,11
2021-01-02,0,0,0,0,789,749,29,11
2021-01-03,0,0,0,0,789,749,29,11
2021-01-04,0,0,0,0,789,749,29,11
2021-01-05,0,0,0,0,789,749,29,11
2021-01-06,0,0,0,0,789,749,29,11
2021-01-07,0,0,0,0,789,749,29,11
2021-01-08,0,0,0,0,789,749,29,11
2021-01-09,0,0,0,0,789,749,29,11
2021-01-10,0,0,0,0,789,749,29,11
2021-01-11,0,0,0,0,789,749,29,11
2021-01-12,0,0,0,0,789,749,29,11
2021-01-13,0,0,0,0,789,749,29,11
2021-01-14,0,0,0,0,789,749,29,11
2021-01-15,0,0,0,0,789,749,29,11
2021-01-16,0,0,0,0,789,749,29,11
2021-01-17,0,0,0,0,789,749,29,11
2021-01-18,0,0,0,0,789,749,29,11
2021-01-19,0,0,2,-2,789,751,29,9
2021-01-20,0,0,0,0,789,751,29,9
2021-01-21,0,0,0,0,789,751,29,9
2021-01-22,0,0,0,0,789,751,29,9
2021-01-23,0,0,0,0,789,751,29,9
2021-01-24,0,0,0,0,789,751,29,9
2021-01-25,0,0,0,0,789,751,29,9
2021-01-26,0,0,0,0,789,751,29,9
2021-01-27,0,0,0,0,789,751,29,9
2021-01-28,0,0,0,0,789,751,29,9
2021-01-29,0,0,0,0,789,751,29,9
2021-01-30,0,0,0,0,789,751,29,9
2021-01-31,0,0,0,0,789,751,29,9
2021-02-01,0,0,0,0,789,751,29,9
2021-02-02,0,0,0,0,789,751,29,9
2021-02-03,0,0,0,0,789,751,29,9
2021-02-04,0,0,0,0,789,751,29,9
2021-02-05,0,0,0,0,789,751,29,9
2021-02-06,0,0,0,0,789,751,29,9
2021-02-07,0,0,0,0,789,751,29,9
2021-02-08,0,0,0,0,789,751,29,9
2021-02-09,0,0,0,0,789,751,29,9
2021-02-10,0,0,0,0,789,751,29,9
2021-02-11,0,0,0,0,789,751,29,9
2021-02-12,0,0,0,0,789,751,29,9
2021-02-13,0,0,0,0,789,751,29,9
2021-02-14,0,0,0,0,789,751,29,9
2021-02-15,0,0,0,0,789,751,29,9
2021-02-16,0,0,0,0,789,751,29,9
2021-02-17,0,0,0,0,789,751,29,9
2021-02-18,0,0,0,0,789,751,29,9
2021-02-19,0,0,0,0,789,751,29,9
2021-02-20,0,0,0,0,789,751,29,9
2021-02-21,0,0,0,0,789,751,29,9
2021-02-22,0,0,0,0,789,751,29,9
2021-02-23,0,0,0,0,789,751,29,9
2021-02-24,0,0,0,0,789,751,29,9
2021-02-25,0,0,0,0,789,751,29,9
2021-02-26,0,0,0,0,789,751,29,9
2021-02-27,0,0,0,0,789,751,29,9
2021-02-28,0,0,0,0,789,751,29,9
2021-03-01,0,0,0,0,789,751,29,9
2021-03-02,0,1,0,-1,789,751,30,8
2021-03-03,0,0,0,0,789,751,30,8
2021-03-04,0,0,0,0,789,751,30,8
2021-03-05,0,0,0,0,789,751,30,8
2021-03-06,0,0,0,0,789,751,30,8
2021-03-07,0,0,0,0,789,751,30,8
2021-03-08,0,0,0,0,789,751,30,8
2021-03-09,0,0,0,0,789,751,30,8
2021-03-10,0,0,0,0,789,751,30,8
2021-03-11,0,0,0,0,789,751,30,8
2021-03-12,0,0,0,0,789,751,30,8
2021-03-13,0,0,0,0,789,751,30,8
2021-03-14,0,0,0,0,789,751,30,8
2021-03-15,0,0,0,0,789,751,30,8
2021-03-16,0,0,0,0,789,751,30,8
2021-03-17,0,0,0,0,789,751,30,8
2021-03-18,0,0,0,0,789,751,30,8
2021-03-19,0,0,0,0,789,751,30,8
2021-03-20,0,0,0,0,789,751,30,8
2021-03-21,0,0,0,0,789,751,30,8
2021-03-22,0,0,0,0,789,751,30,8
2021-03-23,0,0,0,0,789,751,30,8
2021-03-24,0,0,0,0,789,751,30,8
2021-03-25,0,0,0,0,789,751,30,8
2021-03-26,0,0,0,0,789,751,30,8
2021-03-27,0,0,0,0,789,751,30,8
2021-03-28,0,0,0,0,789,751,30,8
2021-03-29,0,0,0,0,789,751,30,8
2021-03-30,0,0,0,0,789,751,30,8
2021-03-31,0,0,0,0,789,751,30,8
2021-04-01,0,0,0,0,789,751,30,8
2021-04-02,0,0,0,0,789,751,30,8
2021-04-03,0,0,0,0,789,751,30,8
2021-04-04,0,0,0,0,789,751,30,8
2021-04-05,0,0,0,0,789,751,30,8
2021-04-06,0,0,0,0,789,751,30,8
2021-04-07,0,0,0,0,789,751,30,8
2021-04-08,0,0,0,0,789,751,30,8
2021-04-09,0,0,0,0,789,751,30,8
2021-04-10,0,0,0,0,789,751,30,8
2021-04-11,0,0,0,0,789,751,30,8
2021-04-12,0,0,0,0,789,751,30,8
2021-04-13,0,0,0,0,789,751,30,8
2021-04-14,0,0,0,0,789,751,30,8
2021-04-15,0,0,0,0,789,751,30,8
2021-04-16,0,0,0,0,789,751,30,8
2021-04-17,0,0,0,0,789,751,30,8
2021-04-18,0,0,0,0,789,751,30,8
2021-04-19,0,0,0,0,789,751,30,8
2021-04-20,0,0,0,0,789,751,30,8
2021-04-21,0,0,0,0,789,751,30,8
2021-04-22,0,0,0,0,789,751,30,8
2021-04-23,0,0,0,0,789,751,30,8
2021-04-24,0,0,0,0,789,751,30,8
2021-04-25,0,0,0,0,789,751,30,8
2021-04-26,0,0,0,0,789,751,30,8
2021-04-27,0,0,0,0,789,751,30,8
2021-04-28,0,0,0,0,789,751,30,8
2021-04-29,0,0,0,0,789,751,30,8
2021-04-30,0,0,0,0,789,751,30,8
2021-05-01,0,0,0,0,789,751,30,8
2021-05-02,0,0,0,0,789,751,30,8
2021-05-03,0,0,0,0,789,751,30,8
2021-05-04,0,0,0,0,789,751,30,8
2021-05-05,0,0,0,0,789,751,30,8
2021-05-06,0,0,0,0,789,751,30,8
2021-05-07,0,0,0,0,789,751,30,8
2021-05-08,0,0,0,0,789,751,30,8
2021-05-09,0,0,0,0,789,751,30,8
2021-05-10,0,0,0,0,789,751,30,8
2021-05-11,0,0,0,0,789,751,30,8
2021-05-12,0,0,0,0,789,751,30,8
2021-05-13,0,0,0,0,789,751,30,8
2021-05-14,0,0,0,0,789,751,30,8
2021-05-15,0,0,0,0,789,751,30,8
2021-05-16,0,0,0,0,789,751,30,8
2021-05-17,0,0,0,0,789,751,30,8
2021-05-18,0,0,0,0,789,751,30,8
2021-05-19,0,0,0,0,789,751,30,8
2021-05-20,0,0,0,0,789,751,30,8
2021-05-21,0,0,0,0,789,751,30,8
2021-05-22,0,0,0,0,789,751,30,8
2021-05-23,0,0,0,0,789,751,30,8
2021-05-24,0,0,0,0,789,751,30,8
2021-05-25,0,0,0,0,789,751,30,8
2021-05-26,0,0,0,0,789,751,30,8
2021-05-27,0,0,0,0,789,751,30,8
2021-05-28,0,0,0,0,789,751,30,8
2021-05-29,0,0,0,0,789,751,30,8
2021-05-30,0,0,0,0,789,751,30,8
2021-05-31,0,0,0,0,789,751,30,8
2021-06-01,0,0,0,0,789,751,30,8
2021-06-02,0,0,0,0,789,751,30,8
2021-06-03,0,0,0,0,789,751,30,8
2021-06-04,0,0,0,0,789,751,30,8
