tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-23,1,2,0,-1,1,0,2,-1
2020-03-24,0,0,0,0,1,0,2,-1
2020-03-25,0,0,0,0,1,0,2,-1
2020-03-26,0,0,0,0,1,0,2,-1
2020-03-27,0,0,0,0,1,0,2,-1
2020-03-28,1,0,0,1,2,0,2,0
2020-03-29,0,0,0,0,2,0,2,0
2020-03-30,0,0,0,0,2,0,2,0
2020-03-31,3,0,0,3,5,0,2,3
2020-04-01,0,0,0,0,5,0,2,3
2020-04-02,6,0,0,6,11,0,2,9
2020-04-03,1,0,0,1,12,0,2,10
2020-04-04,0,0,1,-1,12,1,2,9
2020-04-05,4,0,0,4,16,1,2,13
2020-04-06,0,0,0,0,16,1,2,13
2020-04-07,0,0,0,0,16,1,2,13
2020-04-08,0,0,0,0,16,1,2,13
2020-04-09,1,0,0,1,17,1,2,14
2020-04-10,1,0,0,1,18,1,2,15
2020-04-11,0,0,0,0,18,1,2,15
2020-04-12,0,0,2,-2,18,3,2,13
2020-04-13,0,0,0,0,18,3,2,13
2020-04-14,1,0,0,1,19,3,2,14
2020-04-15,3,0,0,3,22,3,2,17
2020-04-16,18,0,0,18,40,3,2,35
2020-04-17,14,0,0,14,54,3,2,49
2020-04-18,30,1,0,29,84,3,3,78
2020-04-19,5,0,0,5,89,3,3,83
2020-04-20,0,0,0,0,89,3,3,83
2020-04-21,0,0,0,0,89,3,3,83
2020-04-22,0,0,0,0,89,3,3,83
2020-04-23,4,0,1,3,93,4,3,86
2020-04-24,13,0,2,11,106,6,3,97
2020-04-25,13,0,10,3,119,16,3,100
2020-04-26,10,0,0,10,129,16,3,110
2020-04-27,0,0,4,-4,129,20,3,106
2020-04-28,14,0,3,11,143,23,3,117
2020-04-29,1,0,0,1,144,23,3,118
2020-04-30,6,0,0,6,150,23,3,124
2020-05-01,6,0,5,1,156,28,3,125
2020-05-02,0,2,0,-2,156,28,5,123
2020-05-03,28,0,7,21,184,35,5,144
2020-05-04,0,1,7,-8,184,42,6,136
2020-05-05,15,0,4,11,199,46,6,147
2020-05-06,11,1,0,10,210,46,7,157
2020-05-07,17,2,2,13,227,48,9,170
2020-05-08,0,1,0,-1,227,48,10,169
2020-05-09,51,0,6,45,278,54,10,214
2020-05-10,0,3,9,-12,278,63,13,202
2020-05-11,0,0,0,0,278,63,13,202
2020-05-12,1,1,9,-9,279,72,14,193
2020-05-13,43,2,0,41,322,72,16,234
2020-05-14,117,1,0,116,439,72,17,350
2020-05-15,16,1,0,15,455,72,18,365
2020-05-16,0,0,0,0,455,72,18,365
2020-05-17,66,3,0,63,521,72,21,428
